,text,Kirtan - eval,Kirtan - actionable,Reeshad - eval,Reeshad - actionable,Divyansh - eval,Divyansh - actionable,Reeshan - eval,emotion,emotion_score
32,"Furthermore, tomorrow I will announce my plan to allow the consumption of alcohol in Calgary's parks on a permanent basis, and not just at individual tables and benches. We must trust that Calgarians are as responsible walking in a park as sitting at a table. (4/4) #yyc #yyccc",T,NA,T,NA,T,NA,,joy,0.9457497000694275
33,"On May 28, Edmonton joined cities such as Montreal, Vancouver and Calgary in allowing its citizens to enjoy an alcoholic beverage in designated municipal parks — but not Toronto. /2 https://t.co/az1KWs5PbQ",T,NA,T,NA,T,NA,,anger,0.864169716835022
34,"I am happy to see allowing the consumption of beer and wine in Calgary's parks is being considered by City Council today. Unfortunately what is proposed overly complicates the issue when the City should look to simplify and streamline. (1/4) #yyc #yyccc 
https://t.co/1VdSTgurdt",F,NA,T,A,F,NA,,joy,0.9261253476142883
35,"Trust Calgary city council to come up with the most inane, bureaucratic way possible to pilot something. Allowing alcohol at certain picnic tables in certain parks that you have to pre book online ... https://t.co/0dzysMGXiW",T,NA,T,A,T,NA,,anger,0.8163024187088013
36,Drinking in Calgary parks: pilot program a success so far with only 1 complaint https://t.co/kt2Xe1DRAq https://t.co/sip619dFwk,T,NA,T,NA,T,NA,,anger,0.7006041407585144
37,Drinking in Calgary parks: pilot program a success so far with only 1 complaint https://t.co/j0I8NV0AMo,T,NA,T,NA,T,NA,,anger,0.8199884295463562
38,Drinking in Calgary parks: pilot program a success so far with only 1 complaint https://t.co/j0I8NV0AMo,T,NA,T,NA,T,NA,,anger,0.8199884295463562
39,"@KrankyKanuck How dare you impugn Alberta’s reputation like this! Our Premier declared the “War On Fun” (drinking in Parks) was over, way back in 2019! https://t.co/RiXuQ11Fij",f,0.0,T,NA,F,NA,,joy,0.5405756831169128
40,"Calgary currently has a zero tolerance policy for drinking alcohol in municipal parks, but a city councillor is hoping to test out allowing consumption in city parks through booking picnic tables to enjoy a drink. https://t.co/uYpMQDxUAc https://t.co/qxvzTzfs5u",T,NA,T,A,T,NA,,joy,0.9377163648605347
41,Calgary will test allowing alcohol consumption in city parks this summer https://t.co/D2mWDEGIb0,T,NA,T,NA,T,NA,,joy,0.5132489800453186
42,List of Picnic Sites in Calgary Parks Where You Can Legally Consume Alcohol Staring June 1 | To Do Canada https://t.co/1ncYc9tSWb,T,NA,T,NA,T,NA,,fear,0.7277997136116028
43,RED FM Poll: Should Calgary Council allow temporary alcohol consumption in parks? https://t.co/8n592TBJSn https://t.co/twzKgq9bzj,T,NA,T,A,T,A,,anger,0.5910066962242126
44,Councillor suggests Calgary try allowing alcohol consumption in city parks https://t.co/3n2XQjyA8R,T,NA,T,A,T,NA,,anger,0.6091084480285645
45,"Councillor suggests Calgary try allowing alcohol consumption in city parks
 https://t.co/TBcWoVo63V",F,NA,T,A,F,NA,,anger,0.5611503720283508
46,Councillor suggests Calgary try allowing alcohol consumption in city parks https://t.co/6p4NeLtIdH,T,NA,T,A,T,NA,,anger,0.599484384059906
47,"On Monday afternoon, Calgary city council voted 12-2 to approve a pilot project that will allow people to indulge in their favourite alcoholic beverages at city-owned parks.

Source: Global News

Follow @calgaryisbeautiful  
#yyc #calgary #calgaryisbeautiful #alberta https://t.co/lVUqIeKogf",F,NA,T,NA,F,NA,,joy,0.9822490215301514
48,"On Monday afternoon, Calgary city council voted 12-2 to approve a pilot project that will allow people to indulge in their favourite alcoholic beverages while hanging out at city-owned parks. For more info go to: https://t.co/Ce6Es4xsgM #drinklocal #abbeer #allthebest https://t.co/zMIa9QVQvF",T,NA,T,NA,T,NA,,joy,0.989048421382904
49,"Starting June 1, you’ll be allowed to drink booze in designated #Calgary parks, but only at select picnic tables that are marked by this sign. 

Tables can be booked in advance as of May 25, otherwise it’s first-come, first-served. #YYC

Details: https://t.co/m28X4IjpTE https://t.co/l2s7YlAmSA",F,NA,T,NA,F,NA,,joy,0.920211672782898
50,Expansion planned for Calgary's alcohol in parks program https://t.co/PAVNP0FUuW #yyc #yyccc,T,NA,T,NA,T,NA,,joy,0.8119243383407593
51,BREAKING NEWS -  Calgary launches pilot project for permitting alcohol in city parks https://t.co/Am5tYYCfxT,T,NA,T,NA,T,NA,,anger,0.6113392114639282
52,Yeah I’m not going to lie I’ve definitely done some drinking in #Calgary parks on numerous occasions since #COVID19 hit so I’d be all for a little off-licensing in #YYC.   https://t.co/dLYzOhxJcS,T,NA,T,A,T,NA,,joy,0.7415421009063721
53,Calgary will test allowing alcohol consumption in city parks this summer - https://t.co/02UF1zhH12 https://t.co/2ObsbiaR2O,T,NA,T,NA,T,NA,,joy,0.6523950099945068
54,"I hope that people who’ve been fined/jailed for public intoxication receive pardons and expungement (especially for those facing homelessness and addiction) as Calgary permits drinking in public parks. Now it’s acceptable to drink on a park bench, only if you have a reservation!",T,A,T,A,T,A,,joy,0.9133422374725342
55,@CBCScott Book a table? What a bunch of morons. They may want to figure out most people have had enough of the stupidity. People sometimes have a drink in parks even if it is illegal. Do think all those go type coffee cups only hold coffee? Poor Calgary.,T,NA,T,NA,T,NA,,anger,0.8503561615943909
56,"Calgary councillor proposes pilot to allow alcohol in city parks https://t.co/RfB79Raiik via @CTVCalgary this is just a stupid idea drop it. Beer parties,drunks,kids,broken bottles,increase need for police, the list goes on. Why would council even suggest this as an idea.",T,NA,T,A,T,A,,sadness,0.9976442456245422
57,"Edmonton, Calgary, Vancouver, Penticton, Montréal, Québec City are the global norm for public alcohol consumption in designated spaces, Toronto is the outlier. #safeandresponsible #COVIrecovery https://t.co/CVoqhCvS60 via @torontostar",T,NA,T,NA,T,NA,,joy,0.9801046848297119
58,Calgary committee votes to expand alcohol in parks program https://t.co/np2ZCKsMhA,T,NA,T,NA,T,NA,,joy,0.6794119477272034
59,"We’re getting an update on the city’s alcohol in parks pilot project this morning. Laura Smith, team lead with Calgary Parks is taking our questions. #YYC #YYCcc @GlobalCalgary",T,NA,T,NA,T,NA,,joy,0.833232045173645
60,Calgary will test allowing alcohol consumption in city parks this summer https://t.co/80CxeMDxPi,T,NA,T,NA,T,NA,,joy,0.4721936881542206
61,Good Morning from Calgary’s Community and Development Committee. Today’s agenda includes alcohol in parks pilot and the potential to expand it next year. #YYC #YYCcc @GlobalCalgary https://t.co/BwQvhN9KFj,T,NA,T,NA,T,NA,,joy,0.9919970631599426
62,"Calgary's pilot for testing alcohol consumption in parks is absolutely ridiculous.
https://t.co/ffsC1rsz2R",F,NA,T,NA,F,NA,,anger,0.7141156792640686
63,Calgary councillor proposes pilot to allow alcohol in city parks https://t.co/fqXAqizBxk via @CTVCalgary,T,NA,T,NA,T,NA,,joy,0.5959016680717468
64,Calgary launches pilot project for permitting alcohol in city parks https://t.co/IMGo7rxF1u,T,NA,T,NA,T,NA,,joy,0.770776093006134
65,Calgary launches pilot project for permitting alcohol in city parks https://t.co/9gYw4wKsXA,T,NA,T,NA,T,NA,,joy,0.7758778929710388
66,"キャルガリー、外で酒が飲める飲めるぞー酒が飲めるぞーになるかもらしいんだけど私的にはガラ悪い奴増えそうでちょい複雑🍶
Calgary councillor proposes pilot to allow alcohol in city parks https://t.co/ur1AXdm3sN",F,NA,T,NA,F,NA,,joy,0.6686137914657593
67,Calgary's alcohol in parks pilot program nets more cheers than party fouls https://t.co/t9gZERdluW,T,NA,T,NA,T,NA,,anger,0.7933822870254517
68,"Calgary's alcohol in parks pilot program nets more cheers than party fouls
https://t.co/xSxYjcz2xX #yyc",F,NA,T,NA,F,NA,,anger,0.7308657765388489
69,"From me out of city hall today: 

Calgary city committee endorses expanding alcohol in parks pilot program. 

#YYC #YYCcc @GlobalCalgary 
 https://t.co/wCNsWvWjCE",F,NA,T,NA,F,NA,,joy,0.966363251209259
70,Calgary has open heroin consumption on trains and in downtown parks yet city council is immersed in debate as to whether or not to let people have a beer or glass of wine at a picnic area of a city park.,T,NA,T,NA,T,NA,,anger,0.8697346448898315
71,Calgary pilots open liquor in city parks. What could go wrong? https://t.co/7IADlqsDlh,T,NA,T,NA,T,NA,,fear,0.7012600302696228
72,"You can start drinking alcohol at designated picnic tables in some #Calgary parks between June 1 - Sept 7. You can book tables in advance, otherwise it's first come first serve. You can only drink at tables, no walking around w/ booze. #yyc — List of parks w/ designated tables: https://t.co/jGu80ctomI",T,NA,T,NA,T,A,,anger,0.6595528721809387
73,"From June 1-Sept 7, Calgarians will be able to drink alcohol responsibly at 30 designated park tables between 11am-9pm as part of the Alcohol in Parks pilot.

Booking isn't required but to  view the locations &amp; reserve a spot, click here:
https://t.co/SydIq5mFdE #yyc #calgary https://t.co/cFqMwqkIgB",F,NA,T,NA,F,NA,,joy,0.8408629894256592
74,Calgary councillor wants to revive open consumption pilot at city parks https://t.co/4jcZm10esC,T,NA,T,NA,T,NA,,joy,0.9869527816772461
75,Calgary councillor wants to revive open consumption pilot at city parks https://t.co/uqpEcxhNiB https://t.co/MjEfttzlBA,T,NA,T,NA,T,NA,,joy,0.9689515829086304
76,"My eyes 👀 will be on city council tomorrow when councillors debate if Calgarians should be allowed to consume open booze in local parks during a pilot project... my vote is 🍷🍻 Especially with the ongoing pandemic, I think this would be a great endeavor #yyc",T,NA,T,A,T,A,,joy,0.9901044964790344
77,If Calgary is allowing beer in their parks... what are the chances @medicinehatcity might allow a @michellesauve to lead a physically distanced Beer Yoga at Kin Coulee?  #FingersCrossed #glubglub https://t.co/oUPNcqczTb,T,NA,T,NA,T,A,,anger,0.4123731255531311
78,If &amp; when they allow alcohol in public parks. Please don’t get drunk &amp; stupid &amp; pick up your trash.. Don’t wreck it for those who just want a “social” drink. Don’t be that person thank you. #yyc #drinks #Calgary #abpoli #beer Cheers!🍻,T,NA,T,A,T,A,,joy,0.9712385535240173
79,We need a fresh perspective on how Calgarians can enjoy our public parks while responsibly enjoying an alcoholic drink. Let’s remove unnecessary hurdles &amp; apply a common sense approach. (1/2) #yyc #yyccc,T,NA,T,A,T,NA,,joy,0.9179638624191284
80,Calgary city councillor looking to pilot loosened liquor laws in city parks https://t.co/30zmpwyKfu,T,NA,T,NA,T,NA,,anger,0.41533684730529785
81,"Calgary city councillor looking to pilot loosened liquor laws in city parks
https://t.co/RqFZrprxaq",F,NA,T,NA,F,NA,,anger,0.3625006079673767
82,Calgary city councillor looking to pilot loosened liquor laws in city parks https://t.co/qrhQCB1DUO https://t.co/zLmhu7rLvr,T,NA,T,NA,T,NA,,anger,0.4131321310997009
83,"Calgarians will likely be able to enjoy a boozy beverage in public parks in 2022, as the city looks to expand its alcohol-in-parks pilot program. #yyc https://t.co/BIhP1XtlkU",T,NA,T,NA,T,NA,,anger,0.8482296466827393
84,The City of Calgary says you can crack a beer or share a bottle of wine with friends at designated tables in parks between 11 a.m. and 9 p.m. starting June 1. https://t.co/41Un1UujLC,T,NA,T,NA,T,NA,,joy,0.7830851674079895
85,"The stock art on Calgary's drinking-in-the-parks page drives me bonkers. Cans, people. Cans. https://t.co/wxpwfAsoEO",T,NA,T,NA,F,NA,,anger,0.5265226364135742
86,"as soon as it’s legal to drink lager in Calgary city parks, white boy summer will officially begin",T,NA,T,NA,T,NA,,joy,0.8968669176101685
87,New from me: Calgary city councillor looking to pilot loosened liquor laws in city parks. #YYC #YYCcc https://t.co/3mR4KwSwmZ,T,NA,T,NA,T,NA,,anger,0.38904473185539246
88,@AcousticS_IN_UK This is revolutionary progress on thinking on alcohol in contemporary Victorian Anglo Canada.  Calgary just last year piloted being able to drink a beer in a few parks.  If you reserved a designated spot ahead of time.,T,NA,T,NA,T,NA,,joy,0.9919825196266174
89,"#ICYMI/WATCH: A new proposal could see Calgarians able to enjoy an alcoholic drink or two in public parks this summer.

READ MORE: https://t.co/mPPHzgeQ2k 

#yyccc #parks https://t.co/4gx5NG4BYQ",F,NA,T,NA,F,NA,,anger,0.8740128874778748
90,"#ICYMI/WATCH: A new proposal could see Calgarians able to enjoy an alcoholic drink or two in public parks this summer.

READ MORE: https://t.co/oy11OESz5o 

#yyccc #parks https://t.co/G21fqccL0I",F,NA,T,NA,F,NA,,anger,0.8727615475654602
91,"Under the alcohol in parks program, Calgarians will be able to have drinks at one of 30 picnic tables at several designated parks across the city from June 1 to Sept. 7. https://t.co/gDyFPYLrcu",T,NA,T,NA,T,NA,,joy,0.9668726921081543
92,"Under the alcohol in parks program, Calgarians will be able to have drinks at one of 30 picnic tables at several designated parks across the city from June 1 to Sept. 7. https://t.co/Odlh2NpmJy",T,NA,T,NA,T,NA,,joy,0.9655696153640747
93,"Can we address homelessness, encampments, addictions &amp; open drug use in parks first &amp;then give it a go? @gccarra @JeromyYYC
@CharlesBodi

Calgary councillor wants to revive open consumption pilot at city parks.
https://t.co/GN0cNBYsIL",F,NA,T,A,F,NA,,joy,0.9686285257339478
94,"The pilot shows what I have believed all along, that Calgarians should be trusted to enjoy a glass of wine in a park without it being so complicated. Let's make it simple, and open most parks, not just 30 tables for responsible beverages. #yyccc #yyc https://t.co/B7RvJYXX0b",T,NA,T,A,T,NA,,joy,0.9879332184791565
95,Why make it so complicated? Calgarians should be trusted to enjoy a glass of wine in a park without having to jump through hoops. Let's make it simple   https://t.co/B2uq33XgpK #yyc #yyccc #AbLeg,T,NA,T,A,T,NA,,joy,0.9292122721672058
96,A Calgary councillor wants the city to explore the idea of allowing people to drink alcohol in city parks this summer. @TeriFikowski  https://t.co/kc8vKBYIX2,T,NA,T,NA,T,NA,,joy,0.52102130651474
97,A Calgary councillor wants the city to explore the idea of allowing people to drink alcohol in city parks this summer. @TeriFikowski  https://t.co/9k6Jq3D65K,T,NA,T,NA,T,NA,,joy,0.5700227618217468
98,A Calgary city councillor wants to revive a pilot project that would allow locals to consume alcohol in designated public parks as COVID-19 limits the way people can socialize safely. #yyc #yyccc @calgaryherald https://t.co/3EcG4YMQiz,T,NA,T,NA,T,NA,,joy,0.9647455215454102
99,Drinking a beer or sipping on a glass of wine in a park could become a reality for Calgarians of legal age this summer. @VirginiaCTV  https://t.co/1dN0B5e07b,T,NA,T,NA,T,NA,,joy,0.7270109057426453
100,"WATCH: Calgarians can start drinking alcohol in some of the city's public parks, starting next week. #yyc https://t.co/w2AGdPHiXM",T,NA,T,NA,T,NA,,anger,0.4917263686656952
101,"WATCH: Calgarians can start drinking alcohol in some of the city's public parks, starting next week. #yyc https://t.co/9pZ1UJNcU3",T,NA,T,NA,T,NA,,fear,0.5152934193611145
102,"ICYMI/UPDATED: On Monday, city council decided to give the go-ahead to a pilot project that will allow Calgarians to drink a beer or a bottle of wine at select parks in the city. https://t.co/9Q3SrPo0Ja",T,NA,T,NA,T,NA,,joy,0.9384596943855286
103,"ICYMI/UPDATED: On Monday, city council decided to give the go-ahead to a pilot project that will allow Calgarians to drink a beer or a bottle of wine at select parks in the city. https://t.co/4l9dfcGnEo",T,NA,T,NA,T,NA,,joy,0.9338560700416565
104,"Calgarians will be able to tip back a cold one or enjoy a bottle of wine in city parks beginning June 1, but with a few rules in place. @dave_dormer  https://t.co/ez0VRNxd0N",T,NA,T,NA,T,NA,,anger,0.9793434143066406
105,"Calgarians will be able to tip back a cold one or enjoy a bottle of wine in city parks beginning June 1, but with a few rules in place. @dave_dormer  https://t.co/BXYo3w9qsP",T,NA,T,NA,T,NA,,anger,0.9826868176460266
106,A new proposal could see Calgarians able to enjoy an alcoholic drink or two in public parks this summer. https://t.co/9KKcZhWbXw,T,NA,T,NA,T,NA,,anger,0.885305643081665
107,"When you’re technically allowed to start drinking in parks starting June 1st like you haven’t been practicing for this since before then😅

(For legal reasons this is a joke)

#YYC #Calgary #985VIRGINRadio #TheRealKyleeRoman 

- @KyleeRo",F,NA,T,NA,F,NA,,anger,0.7419911623001099
108,"Starting tomorrow (June 1), Calgarians will be able to drink alcohol at designated picnic tables in select parks throughout the city as part of a new pilot project.

https://t.co/NOA5yxXQZ1",F,NA,T,NA,F,NA,,joy,0.9783633947372437
109,"A Calgary city councillor is putting together a proposal to test a pilot that would allow alcohol consumption in designated city parks.

 https://t.co/aG3hGvtbf8",F,NA,T,NA,F,NA,,anger,0.42758843302726746
110,The city of Calgary is gonna have a vote to decide if I’ll be drinking booze out of the container it comes in or out of a coke can like usual. #yyc #Calgary #calgaryparks,T,NA,T,NA,T,NA,,anger,0.8046959638595581
111,I think the proposed bike lane for 2 Ave NW might even be better than the one described in @TomBabin’s Shifter video of bike lanes in another Calgary neighbourhood. Nice work @cityofcalgary! https://t.co/eBsDOJvMLT https://t.co/ChqaMPzHin,T,NA,,NA,T,NA,T,joy,0.9013399481773376
112,"@drkomanduri People are really homing in on the bike path. I don’t know how practical it is as I try to stick to Calgary’s pathways, but it is an option that wasn’t there before.",T,NA,,A,T,NA,T,joy,0.9907044768333435
113,"Great example of what's wrong with Calgary planning/development--you have to fight to do what policy ALREADY SAYS, and even then, you lose. 

Make 3 Ave S a permanent cycle track! #yycbike #yycplan #yyccc @cityofcalgary @yyctransport @YYCTKW https://t.co/4b5BQPOuJE",F,NA,,A,F,NA,T,anger,0.49089038372039795
114,@kirstengoa I keep telling city planners every chance I get that 76th Ave. should cross the old tracks into Calgary Trail to become a pedestrian and bike only thorough fair. (no cars),T,A,,A,T,NA,T,joy,0.6919013261795044
115,@nenshi Just what we don’t need is more freaking bike or walking paths! This is why Calgary is in ruins because of stupidity like this! Waste of taxpayers dollars!,T,A,,A,T,NA,T,sadness,0.7819728255271912
116,This video of my daughter and me on Calgary’s 12th ave wheeling lane has been seen by many thousands of people around the world. Don’t discount our ability to inspire better bike infrastructure for others—even if we still have far to go ourselves. #yycbike https://t.co/UpihtwkUyi,T,NA,,NA,T,NA,T,joy,0.9893774390220642
117,"NOT BIKE LANES!!! 
😠😡😩😰😭
New Calgary wheeling lanes opposed by some southwest businesses https://t.co/VwQfVHzpdm",F,NA,,A,F,NA,T,anger,0.9913693070411682
118,"@SustainableYYC When I was in town back in 2015, I saw lots of pedestrian and bike infrastructure that was better than what we have now in Toronto. Especially all of the bridges across the river. https://t.co/ylVYEk7XbD",T,NA,,NA,T,NA,T,joy,0.9925258159637451
119,"Q on cycling and walking paths. 

Hall: appreciates the design of the cycling paths, the systems of older areas are difficult to connect with newer areas. Bike lanes don't work with the flow of traffic, they should have their own area inter-connected throughout Calgary.",F,NA,,A,F,NA,T,joy,0.7797372937202454
120,@sinmerchant @BrentToderian I rode all over downtown Toronto this summer. There were bike lanes on every major east west street in both directions &amp; many N/S. I rode at my pace on a heavy upright rent-a-bike. When I got home to #yyc it was so discouraging. We don’t yet belong on these roads.,T,A,,A,T,NA,T,fear,0.3548170030117035
121,@CoryBMorgan I get spitting mad about those @$&amp;@/? bike lanes when visiting my parents in calgary 🤡 thanks moronic city council!,T,NA,,A,T,NA,T,anger,0.9979234933853149
122,"@CBCCalgary #Edmonton and #Calgary, under our UN-inspired Mayors &amp; Council #yegcc single-mindedly slash budgets for essential infrastructure while increasing #taxes &amp; reducing services. Yet our cities are torn to shreds by wide swaths of bike lanes as cyclists ride the crumbling sidewalks...",T,NA,,A,T,NA,T,sadness,0.995564877986908
123,"@CWalcottYYC #Calgary needs a lot better sidewalks so our city is more accessible, but if it's bike lanes we're talking about, physical barriers instead of painted lanes should be our focus.",T,A,,A,T,NA,T,joy,0.9940914511680603
124,"Alert, the bike talk in Calgary is heating up: ""Why don't we see more cyclists on x route?"" Because the danger is real - either we see it and avoid it or we've come close enough to death due to negligent design and drivers. Every single person who rides a bike regularly carries t",T,A,,NA,T,NA,T,anger,0.9386074542999268
125,"Looking forward to seeing more protected bike lanes in Calgary this summer! 🚲🤩

#YYCCC the time is now!
@JyotiGondek @YYCTKW @gccarra @peterdemong @JenniferWyness @jasmine_mian @SonyaSharpYYC @RajDhaliwal_YYC @pootmans @kourtpenner @CWalcottYYC @chabot4calgary @Spencerfor12 https://t.co/tmkgTy1g0b",F,NA,,NA,F,NA,T,joy,0.960594654083252
126,"@opensourcejoel We're in Calgary this weekend, and I just realized how many bike lanes there are here. That's what a modern city should look like",T,NA,,NA,T,NA,T,joy,0.9919943809509277
127,"I know Calgary has some nice separated lanes downtown, but the entire extent of on-street bike lanes is this: https://t.co/GQ1Ek7jyCO",T,NA,,NA,T,NA,T,joy,0.8817613124847412
128,"Important message for #YYCCC about city bike infra in this 6 min segment on @CBCEyeopener.

@YYCTKW, @CWalcottYYC, @gccarra, @JyotiGondek, Calgary needs to be ready for ebikes! @yyctransport https://t.co/ZchtFZsSFX",F,NA,,A,F,NA,T,joy,0.9724460244178772
129,"Installing shared path or bike/bus lane &amp; sidewalk on Calgary Trail &amp; Gateway Blvd would be a monumental shift to active transportation. 
People going to big box stores on foot, bike or bus, instead of driving and getting stuck in traffic. #YEG https://t.co/NsiQkRCT2n",F,NA,,NA,F,NA,T,anger,0.6362084746360779
130,"This could be Calgary Trail or Gateway Blvd if our elected officials are ambitious enough. One traffic lane can be converted to protected bidirectional bike lane, so that people who ride to big box stores don't have to drive while encouraging other drivers to make the change #yeg https://t.co/qzS0x2IpOj",T,A,,A,T,NA,T,joy,0.9973700046539307
131,"This is the type of thing Calgary should be known for. A fantastic bike into the office today. The CAR lane is fantastic!!

Also the improvements along 24th Ave NW, near the UofC are coming together quite nicely! https://t.co/hb9y9OJLwR",F,NA,,NA,F,NA,T,joy,0.9973165392875671
132,"@brettbergie Wow, real bike paths, not the cheap cop outs Calgary has developed by disadvantaging motorists and obstructing traffic. I think Calgary's new bike lanes are ill-conceived and counter productive, lack imagination and even lack of safe design. :(",T,A,,A,T,NA,T,joy,0.9933941960334778
133,"@Martyupnorth_ The only way to solve Calgary's woes, Bike Lanes Babee!!!",T,NA,,NA,T,NA,T,joy,0.7538461685180664
134,@PlaceHadyn Hey Hadyn. Daily reminder there are bike paths in downtown Calgary and you can’t get rid of them!! Oh the horror!!!,T,NA,,NA,T,NA,T,fear,0.3857302963733673
