text,Kirtan - eval,Kirtan - actionable,Reeshad - eval,Reeshad - actionable,Divyansh - eval,Divyansh - actionable
Drinking in Calgary parks: what you need to know before you crack a beer https://t.co/r1HWWvWzIo https://t.co/jor93RTW8l,T,,T,TA,y,n
"Councillor suggests #Calgary try allowing #alcohol consumption in city parks
 
Read more on: https://t.co/mRskA0pwsB https://t.co/pYOWX3eHaR",,,T,TA,n,-
"Furthermore, tomorrow I will announce my plan to allow the consumption of alcohol in Calgary's parks on a permanent basis, and not just at individual tables and benches. We must trust that Calgarians are as responsible walking in a park as sitting at a table. (4/4) #yyc #yyccc",T,,T,FA,y,n
"On May 28, Edmonton joined cities such as Montreal, Vancouver and Calgary in allowing its citizens to enjoy an alcoholic beverage in designated municipal parks — but not Toronto. /2 https://t.co/az1KWs5PbQ",T,,T,FA,y,n
"I am happy to see allowing the consumption of beer and wine in Calgary's parks is being considered by City Council today. Unfortunately what is proposed overly complicates the issue when the City should look to simplify and streamline. (1/4) #yyc #yyccc 
https://t.co/1VdSTgurdt",,,T,TA,n,-
"Trust Calgary city council to come up with the most inane, bureaucratic way possible to pilot something. Allowing alcohol at certain picnic tables in certain parks that you have to pre book online ... https://t.co/0dzysMGXiW",T,,T,TA,y,n
Drinking in Calgary parks: pilot program a success so far with only 1 complaint https://t.co/kt2Xe1DRAq https://t.co/sip619dFwk,T,,T,FA,y,n
Drinking in Calgary parks: pilot program a success so far with only 1 complaint https://t.co/j0I8NV0AMo,T,,T,FA,y,n
Drinking in Calgary parks: pilot program a success so far with only 1 complaint https://t.co/j0I8NV0AMo,T,,T,FA,y,n
"@KrankyKanuck How dare you impugn Alberta’s reputation like this! Our Premier declared the “War On Fun” (drinking in Parks) was over, way back in 2019! https://t.co/RiXuQ11Fij",f,,T,FA,n,-
"Calgary currently has a zero tolerance policy for drinking alcohol in municipal parks, but a city councillor is hoping to test out allowing consumption in city parks through booking picnic tables to enjoy a drink. https://t.co/uYpMQDxUAc https://t.co/qxvzTzfs5u",T,,T,TA,y,n
Calgary will test allowing alcohol consumption in city parks this summer https://t.co/D2mWDEGIb0,T,,T,FA,y,n
List of Picnic Sites in Calgary Parks Where You Can Legally Consume Alcohol Staring June 1 | To Do Canada https://t.co/1ncYc9tSWb,T,,T,FA,y,n
RED FM Poll: Should Calgary Council allow temporary alcohol consumption in parks? https://t.co/8n592TBJSn https://t.co/twzKgq9bzj,T,,T,TA,y,y
Councillor suggests Calgary try allowing alcohol consumption in city parks https://t.co/3n2XQjyA8R,T,,T,TA,y,n
"Councillor suggests Calgary try allowing alcohol consumption in city parks
 https://t.co/TBcWoVo63V",,,T,TA,n,-
Councillor suggests Calgary try allowing alcohol consumption in city parks https://t.co/6p4NeLtIdH,T,,T,TA,y,n
"On Monday afternoon, Calgary city council voted 12-2 to approve a pilot project that will allow people to indulge in their favourite alcoholic beverages at city-owned parks.

Source: Global News

Follow @calgaryisbeautiful  
#yyc #calgary #calgaryisbeautiful #alberta https://t.co/lVUqIeKogf",,,T,FA,n,-
"On Monday afternoon, Calgary city council voted 12-2 to approve a pilot project that will allow people to indulge in their favourite alcoholic beverages while hanging out at city-owned parks. For more info go to: https://t.co/Ce6Es4xsgM #drinklocal #abbeer #allthebest https://t.co/zMIa9QVQvF",T,,T,FA,y,n
"Starting June 1, you’ll be allowed to drink booze in designated #Calgary parks, but only at select picnic tables that are marked by this sign. 

Tables can be booked in advance as of May 25, otherwise it’s first-come, first-served. #YYC

Details: https://t.co/m28X4IjpTE https://t.co/l2s7YlAmSA",,,T,FA,n,-
Expansion planned for Calgary's alcohol in parks program https://t.co/PAVNP0FUuW #yyc #yyccc,T,,T,FA,y,n
BREAKING NEWS -  Calgary launches pilot project for permitting alcohol in city parks https://t.co/Am5tYYCfxT,T,,T,FA,y,n
Yeah I’m not going to lie I’ve definitely done some drinking in #Calgary parks on numerous occasions since #COVID19 hit so I’d be all for a little off-licensing in #YYC.   https://t.co/dLYzOhxJcS,T,,T,TA,y,n
Calgary will test allowing alcohol consumption in city parks this summer - https://t.co/02UF1zhH12 https://t.co/2ObsbiaR2O,T,,T,FA,y,n
"I hope that people who’ve been fined/jailed for public intoxication receive pardons and expungement (especially for those facing homelessness and addiction) as Calgary permits drinking in public parks. Now it’s acceptable to drink on a park bench, only if you have a reservation!",ta,,T,TA,y,y
@CBCScott Book a table? What a bunch of morons. They may want to figure out most people have had enough of the stupidity. People sometimes have a drink in parks even if it is illegal. Do think all those go type coffee cups only hold coffee? Poor Calgary.,T,,T,FA,y,n
"Calgary councillor proposes pilot to allow alcohol in city parks https://t.co/RfB79Raiik via @CTVCalgary this is just a stupid idea drop it. Beer parties,drunks,kids,broken bottles,increase need for police, the list goes on. Why would council even suggest this as an idea.",T,,T,TA,y,y
"Edmonton, Calgary, Vancouver, Penticton, Montréal, Québec City are the global norm for public alcohol consumption in designated spaces, Toronto is the outlier. #safeandresponsible #COVIrecovery https://t.co/CVoqhCvS60 via @torontostar",T,,T,FA,y,n
Calgary committee votes to expand alcohol in parks program https://t.co/np2ZCKsMhA,T,,T,FA,y,n
"We’re getting an update on the city’s alcohol in parks pilot project this morning. Laura Smith, team lead with Calgary Parks is taking our questions. #YYC #YYCcc @GlobalCalgary",T,,T,FA,y,n
Calgary will test allowing alcohol consumption in city parks this summer https://t.co/80CxeMDxPi,T,,T,FA,y,n
Good Morning from Calgary’s Community and Development Committee. Today’s agenda includes alcohol in parks pilot and the potential to expand it next year. #YYC #YYCcc @GlobalCalgary https://t.co/BwQvhN9KFj,T,,T,FA,y,n
"Calgary's pilot for testing alcohol consumption in parks is absolutely ridiculous.
https://t.co/ffsC1rsz2R",,,T,FA,n,-
Calgary councillor proposes pilot to allow alcohol in city parks https://t.co/fqXAqizBxk via @CTVCalgary,T,,T,FA,y,n
Calgary launches pilot project for permitting alcohol in city parks https://t.co/IMGo7rxF1u,T,,T,FA,y,n
Calgary launches pilot project for permitting alcohol in city parks https://t.co/9gYw4wKsXA,T,,T,FA,y,n
"キャルガリー、外で酒が飲める飲めるぞー酒が飲めるぞーになるかもらしいんだけど私的にはガラ悪い奴増えそうでちょい複雑🍶
Calgary councillor proposes pilot to allow alcohol in city parks https://t.co/ur1AXdm3sN",,,T,FA,n,-
Calgary's alcohol in parks pilot program nets more cheers than party fouls https://t.co/t9gZERdluW,T,,T,FA,y,n
"Calgary's alcohol in parks pilot program nets more cheers than party fouls
https://t.co/xSxYjcz2xX #yyc",,,T,FA,n,-
"From me out of city hall today: 

Calgary city committee endorses expanding alcohol in parks pilot program. 

#YYC #YYCcc @GlobalCalgary 
 https://t.co/wCNsWvWjCE",,,T,FA,n,-
Calgary has open heroin consumption on trains and in downtown parks yet city council is immersed in debate as to whether or not to let people have a beer or glass of wine at a picnic area of a city park.,T,,T,FA,y,n
Calgary pilots open liquor in city parks. What could go wrong? https://t.co/7IADlqsDlh,T,,T,FA,y,n
"You can start drinking alcohol at designated picnic tables in some #Calgary parks between June 1 - Sept 7. You can book tables in advance, otherwise it's first come first serve. You can only drink at tables, no walking around w/ booze. #yyc — List of parks w/ designated tables: https://t.co/jGu80ctomI",T,,T,FA,y,y
"From June 1-Sept 7, Calgarians will be able to drink alcohol responsibly at 30 designated park tables between 11am-9pm as part of the Alcohol in Parks pilot.

Booking isn't required but to  view the locations &amp; reserve a spot, click here:
https://t.co/SydIq5mFdE #yyc #calgary https://t.co/cFqMwqkIgB",,,T,FA,n,-
Calgary councillor wants to revive open consumption pilot at city parks https://t.co/4jcZm10esC,T,,T,FA,y,n
Calgary councillor wants to revive open consumption pilot at city parks https://t.co/uqpEcxhNiB https://t.co/MjEfttzlBA,T,,T,FA,y,n
"My eyes 👀 will be on city council tomorrow when councillors debate if Calgarians should be allowed to consume open booze in local parks during a pilot project... my vote is 🍷🍻 Especially with the ongoing pandemic, I think this would be a great endeavor #yyc",T,,T,TA,y,y
If Calgary is allowing beer in their parks... what are the chances @medicinehatcity might allow a @michellesauve to lead a physically distanced Beer Yoga at Kin Coulee?  #FingersCrossed #glubglub https://t.co/oUPNcqczTb,T,,T,FA,y,y
If &amp; when they allow alcohol in public parks. Please don’t get drunk &amp; stupid &amp; pick up your trash.. Don’t wreck it for those who just want a “social” drink. Don’t be that person thank you. #yyc #drinks #Calgary #abpoli #beer Cheers!🍻,T,,T,TA,y,y
We need a fresh perspective on how Calgarians can enjoy our public parks while responsibly enjoying an alcoholic drink. Let’s remove unnecessary hurdles &amp; apply a common sense approach. (1/2) #yyc #yyccc,T,,T,TA,y,n
Calgary city councillor looking to pilot loosened liquor laws in city parks https://t.co/30zmpwyKfu,T,,T,FA,y,n
"Calgary city councillor looking to pilot loosened liquor laws in city parks
https://t.co/RqFZrprxaq",,,T,FA,n,-
Calgary city councillor looking to pilot loosened liquor laws in city parks https://t.co/qrhQCB1DUO https://t.co/zLmhu7rLvr,T,,T,FA,y,n
"Calgarians will likely be able to enjoy a boozy beverage in public parks in 2022, as the city looks to expand its alcohol-in-parks pilot program. #yyc https://t.co/BIhP1XtlkU",T,,T,FA,y,n
The City of Calgary says you can crack a beer or share a bottle of wine with friends at designated tables in parks between 11 a.m. and 9 p.m. starting June 1. https://t.co/41Un1UujLC,T,,T,FA,y,n
"The stock art on Calgary's drinking-in-the-parks page drives me bonkers. Cans, people. Cans. https://t.co/wxpwfAsoEO",T,,T,FA,n,-
"as soon as it’s legal to drink lager in Calgary city parks, white boy summer will officially begin",T,,T,FA,y,n
New from me: Calgary city councillor looking to pilot loosened liquor laws in city parks. #YYC #YYCcc https://t.co/3mR4KwSwmZ,T,,T,FA,y,n
@AcousticS_IN_UK This is revolutionary progress on thinking on alcohol in contemporary Victorian Anglo Canada.  Calgary just last year piloted being able to drink a beer in a few parks.  If you reserved a designated spot ahead of time.,T,,T,FA,y,n
"#ICYMI/WATCH: A new proposal could see Calgarians able to enjoy an alcoholic drink or two in public parks this summer.

READ MORE: https://t.co/mPPHzgeQ2k 

#yyccc #parks https://t.co/4gx5NG4BYQ",,,T,FA,n,-
"#ICYMI/WATCH: A new proposal could see Calgarians able to enjoy an alcoholic drink or two in public parks this summer.

READ MORE: https://t.co/oy11OESz5o 

#yyccc #parks https://t.co/G21fqccL0I",,,T,FA,n,-
"Under the alcohol in parks program, Calgarians will be able to have drinks at one of 30 picnic tables at several designated parks across the city from June 1 to Sept. 7. https://t.co/gDyFPYLrcu",T,,T,FA,y,n
"Under the alcohol in parks program, Calgarians will be able to have drinks at one of 30 picnic tables at several designated parks across the city from June 1 to Sept. 7. https://t.co/Odlh2NpmJy",T,,T,FA,y,n
"Can we address homelessness, encampments, addictions &amp; open drug use in parks first &amp;then give it a go? @gccarra @JeromyYYC
@CharlesBodi

Calgary councillor wants to revive open consumption pilot at city parks.
https://t.co/GN0cNBYsIL",,,T,TA,n,-
"The pilot shows what I have believed all along, that Calgarians should be trusted to enjoy a glass of wine in a park without it being so complicated. Let's make it simple, and open most parks, not just 30 tables for responsible beverages. #yyccc #yyc https://t.co/B7RvJYXX0b",T,,T,TA,y,n
Why make it so complicated? Calgarians should be trusted to enjoy a glass of wine in a park without having to jump through hoops. Let's make it simple   https://t.co/B2uq33XgpK #yyc #yyccc #AbLeg,T,,T,TA,y,n
A Calgary councillor wants the city to explore the idea of allowing people to drink alcohol in city parks this summer. @TeriFikowski  https://t.co/kc8vKBYIX2,T,,T,FA,y,n
A Calgary councillor wants the city to explore the idea of allowing people to drink alcohol in city parks this summer. @TeriFikowski  https://t.co/9k6Jq3D65K,T,,T,FA,y,n
A Calgary city councillor wants to revive a pilot project that would allow locals to consume alcohol in designated public parks as COVID-19 limits the way people can socialize safely. #yyc #yyccc @calgaryherald https://t.co/3EcG4YMQiz,T,,T,FA,y,n
Drinking a beer or sipping on a glass of wine in a park could become a reality for Calgarians of legal age this summer. @VirginiaCTV  https://t.co/1dN0B5e07b,T,,T,FA,y,n
"WATCH: Calgarians can start drinking alcohol in some of the city's public parks, starting next week. #yyc https://t.co/w2AGdPHiXM",T,,T,FA,y,n
"WATCH: Calgarians can start drinking alcohol in some of the city's public parks, starting next week. #yyc https://t.co/9pZ1UJNcU3",T,,T,FA,y,n
"ICYMI/UPDATED: On Monday, city council decided to give the go-ahead to a pilot project that will allow Calgarians to drink a beer or a bottle of wine at select parks in the city. https://t.co/9Q3SrPo0Ja",T,,T,FA,y,n
"ICYMI/UPDATED: On Monday, city council decided to give the go-ahead to a pilot project that will allow Calgarians to drink a beer or a bottle of wine at select parks in the city. https://t.co/4l9dfcGnEo",T,,T,FA,y,n
"Calgarians will be able to tip back a cold one or enjoy a bottle of wine in city parks beginning June 1, but with a few rules in place. @dave_dormer  https://t.co/ez0VRNxd0N",T,,T,FA,y,n
"Calgarians will be able to tip back a cold one or enjoy a bottle of wine in city parks beginning June 1, but with a few rules in place. @dave_dormer  https://t.co/BXYo3w9qsP",T,,T,FA,y,n
A new proposal could see Calgarians able to enjoy an alcoholic drink or two in public parks this summer. https://t.co/9KKcZhWbXw,T,,T,FA,y,n
"When you’re technically allowed to start drinking in parks starting June 1st like you haven’t been practicing for this since before then😅

(For legal reasons this is a joke)

#YYC #Calgary #985VIRGINRadio #TheRealKyleeRoman 

- @KyleeRo",,,T,FA,n,-
"Starting tomorrow (June 1), Calgarians will be able to drink alcohol at designated picnic tables in select parks throughout the city as part of a new pilot project.

https://t.co/NOA5yxXQZ1",,,T,FA,n,-
"A Calgary city councillor is putting together a proposal to test a pilot that would allow alcohol consumption in designated city parks.

 https://t.co/aG3hGvtbf8",,,T,FA,n,-
The city of Calgary is gonna have a vote to decide if I’ll be drinking booze out of the container it comes in or out of a coke can like usual. #yyc #Calgary #calgaryparks,T,,T,FA,y,n
