text,Reeshan - eval,Reeshad - actionable,Divyansh - eval,Divyansh - actionable,Kirtan
@CallawayLong @DustyRoseYYC Jyoti thinks bike lanes will save Calgary from destruction.  Downtown is empty - those head offices will not be coming back.,T,FA,y,n,T
Amsterdam Continues to Lead with the Appointment of a Bike Mayor | Momentum Mag https://t.co/N6kua8S2PH Hey Calgary we could be a leader in North America for all things bike related. Already have a start with pathways. @JyotiGondek @cityofcalgary @SustainableYYC @bikecalgary,T,FA,y,n,T
"@GlobalCalgary @garybtvnews @cityofcalgary How is this even a story to begin with? Calgary had an active transportation plan, this project has been engaged with and an obligation to build safe streets for everybody. Any time a bike lane is built isn't news worthy you're just trying to divide people.
#yyc #yycvote",T,FA,n,-,
"Oh happy day there are new bike paths in Calgary! Check out the digital map from @CurrieLife [sponsored] #yycliving #currie #curriebikemap
⬇️⬇️⬇️
 https://t.co/xg3Be2qFIg https://t.co/5ZlKyeei7D",T,FA,n,-,
"Since drivers in #yyc STILL can’t figure out that you aren’t supposed to drive in a bike lane, how about putting up dividers to protect ALL Calgary bike lanes, and the riders using them?",T,TA,y,y,ta
Bike lanes are freshly cleared in Calgary as well even in the suburbs. Pictures forthcoming. https://t.co/IZyGAJ1fwa,T,FA,y,n,T
@kjc_2599 @cityofcalgary @UCalgary Knowing the City of Calgary they'll rip out half the parking lot so they can put in a bike path and scooter parking.,T,FA,y,n,T
"I never thought I'd see Calgary road signs while on my bike. Riding on 41 street was good, until I had to ride on the road (no MUP) to 170 st.

A ""backroad"" that speedy cars love but we're VERY kind in passing distance to me. https://t.co/fGtmMRSx0F",T,FA,n,-,
@thejcorn There is a lot of transit nearby. More bike parking is possible. Vehicle use will persist as Calgary is spread out and visitors to this business can come from far reaches. Balanced mode of transportation  is required.,T,TA,y,n,T
Would love to see these on Calgary pathways where there are parallel walk and bike paths or unprotected bicycle gutters on streets. @yyctransport @CalgaryParks #yycbike https://t.co/iJNCJ1ILUR,T,TA,y,n,T
"I love that Calgary, a car-oriented sprawled city with a population density of ~1300/sq km (3400/sq mi) and headquarters to multiple oil/gas companies, is actively building out a network of bike infrastructure! https://t.co/uKeCYrqPLY",T,FA,y,n,T
"Stop by Friday, Oct 8
3:30-5:30 pm
Bike path entrance behind Bishop's Manor (200 Nina Gardens NE, #Calgary, AB T2E 7X6)

This is a joint project by @FWDhousing &amp; @BRCAssociation. 

We will do our best to make this an #accessible #yycevent for all ages &amp; abilities. 

💚🙌🏽🧡🙌🏼💙 https://t.co/WSKMDhhwAK",T,FA,n,-,
"CCA Student Mapping Competition Entry #CCA2021

""Cycling in Calgary: Is the current bike infrastructure meeting the demands within the city boundary?"" Yichun Du, Ryerson University

https://t.co/ZMRruIeK8V

#CCAmaps #cartography https://t.co/Tr6BeHhhWj",T,FA,n,-,
"29th street Calgary - where you can get yelled at for #yycbike biking on the shared ""pathway""* and honked at for taking the lane in the same 100m.
*to be fair it is confusing that it is a shared pathway because it seems like a sidewalk.
WhY dOnT BikeRidERS FolLow tHE RulEs?",T,FA,n,-,
"@ToulasTake Half the cyclists in Montreal are allergic to bike lanes. 

Because it makes it harder to switch from vehicle to pedestrian? Because rules are not Mtl cool?

We had a lane kike that in Calgary on 12th Ave SW when I lived there and my wife and I both used it extensively.",T,FA,n,-,
@StoreFrontExp There was some talk last term of creating city wide permit parking on every street in Calgary. Whether those funds would go into bike lanes...unknown.,T,FA,y,n,T
@brettdrc @craigminielly @j_mcelroy they absolutely ruined pedestrian and cycle pathways in Calgary.  I really hope the parasitic scooters don't overtake Vancouver.  Montrealers voiced their opinions about how awful they are for good reason,T,FA,y,n,T
"A milestone #yycbike for Sam and me. Thirty kilometres! Sam picked the destination, and I assembled a safe route based on years and years of local bicycling knowledge. Way-finding would be a welcome addition to Calgary pathways and bikeways. https://t.co/b5HmXZyPBF",T,TA,y,n,T
@seanchucalgary @yycchinatown More bike lanes? Theres no traffic. Downtown is on life support. Starbucks cant survive and is moving +15 locations to outside the core. Yet parking rates are still ridiculously high and the City of Calgary army of ticket writers are very busy and still employed.,T,FA,y,n,T
@Matticusssss @maijasauna I'm looking forward to the full roundup of bike access to Calgary's 10 worst neighbourhoods.,T,FA,y,n,T
"Going forward, Calgary's #5ANetwork of bikeways &amp; pathways will become more welcoming to children, seniors and people with mobility challenges. (image: pg4 of 5ANetwork Guiding Principles ) 6/ https://t.co/IB9eGpW42b",T,FA,y,n,T
"Matthew made a conscientious choice to replace car trips with bike trips for work. While Calgary has great SNIC plans for active modes, too often the value of those plans are undermined by unreliable outcomes. We must do more to support a growing community of Matthews. https://t.co/UjZMSbqf5f",T,TA,y,n,T
Riding a bike on a #stroad in Calgary😱 How many stroads are still in Montreal ? Hopefully Henri-Bourassa Blvd will be fixed with the #revmtl ! #activemobility #urbanism https://t.co/t1fetA7bij,T,TA,y,y,T
"End of an era? Progressive mayors in Calgary and Edmonton to make their exits, via @edmontonjournal … good riddance Bike Lane Don don’t let the door hit you on your ass on the way out  https://t.co/cmggQE4uu3",T,FA,y,n,T
@Coprolithic A BIKE LANE BEING SHOVELED RIP FOREVER CALGARY 😭,T,FA,y,n,T
"@Wheelevolution Anything bike path related in Calgary is like an awesome round of frogger...   Pedestrians, cars, pylons, concrete barriers in the wrong places broken sidewalks....   Just make sure you Zig when you're supposed to zig....   I enjoy the good with the bad.  Best I can put it. Ha Ha https://t.co/o5qaFBU4Jc",T,FA,y,n,T
"Spending a couple of days in Calgary. It is great to see so much cycling infrastructure being installed! Yes.. there can be more, yes, it can be more connected.. yes, there are gaps.. but, this is better than most cities are getting! #bikefriendlycanada #yycbike",T,FA,y,n,T
@YEGlifer @cougsta Calgary separates bikes and pedestrians on some of their pathways. It’s the best option in my opinion because it sucks to get buzzed by bikes and it sucks to slow down and weave through a crowd.,T,FA,y,y,T
@Canada_Bikes @DaveBikeSki Yes to coordinated design regulations! There are a lot of things called bike lanes in Calgary that just aren't. Lots of paint and blue signs called bike routes that kids couldn't safely take to school and so many people wouldn't ever dream of using.,T,FA,y,n,T
@gccarra From Calgary-Banff I agree entirely. But I'm skeptical of adding in that kind of infrastructure to Hwy 93 where nothing like that currently exists. Recent proposals for bike trails from Banff-Jasper have already met significant resistance.,T,FA,y,n,T
"@Matticusssss I have to wonder if the County and\or City of Calgary could facilitate better pathways around the Balzac at-grade crossing - from there, the connection to CrossIron isn't far down RR10\24 St NE.",T,TA,y,y,T
"@TinyBeaches Does Calgary need another motion from City Council?

How about holding @yyctransport accountable for failing to deliver the protected bike lanes from YYCCC's earlier motion.",T,TA,n,-,
"@gccarra @Chealion @Princess_Jules @yyctransport Until #yycbike infrastructure ceases to largely exist in affluent, white #yyc communities it will continue be seen as an elitist endeavour by the majority of Calgarians. Why did it take until 2021 finally to see the first cycle track east of Deerfoot?",T,FA,y,n,T
"With the recent #ClimateEmergency declaration by #yyccc we want to see bold #BikesAreClimateAction with build out of the cycletrack network so every Calgarian can access it 500m max from their home.

Be bold, Councillors. Lead the pack. #yycbike https://t.co/rsX70d2wrr",T,FA,n,-,
"Now, a presentation on the possible return of a bike share program to Calgary. Background: https://t.co/klspZctPlB #yyccc",T,FA,y,n,T
"“Since being elected, I’ve delivered 260km of high-quality, safer cycle routes – with construction on another four routes underway”. Words we want to hear from elected Calgary civic officials! Am I right?! 200% increase! #yycbike @ClimateHubYYC @bikecalgary @TheGentYYC #yycvotes https://t.co/Ne7XZEyYym",T,FA,y,n,T
"@itsrouel @cathmckenna Where I work, 1000k employees, 2 ride their bike to work but not in the winter. Bike lanes all over Calgary, massive amount spent on it and in the winter, lucky to see one guy peddling. 
waste of taxpayers dollars.",T,FA,n,-,
"@fabulavancouver @GregorCraigie Calgary benefits from the bike trails along the rivers, canal and creeks as a backbone of their network. Only needed bike land downtown fix the final mile problem.",T,TA,y,n,T
"@BikeBikeYYC @chrisdoyle78 There are obvious pinch-points &amp; overcrowded sections that need to be addressed on the Calgary pathway system.

It isn't as flashy as some pathway $ being spent, but would go a huge way to alleviating conflicts/close calls.

Also, true bike commuting routes are woefully lacking.",T,TA,n,-,
"@seanchucalgary @yycchinatown What more money being spent on bike paths?? 
Sean suggest a fee such as a license for the bike that use it. Why should all of Calgary pay for a bike lane? What's percent of citizens that use them",T,TA,n,-,
@KenBoessenkool @JyotiGondek @ryanjespersen We deserve this Calgary and Edmonton!!  The Deerfoot will be a bike path before this rube is finished.,T,TA,y,n,T
"Instead of investing $500 million in moving people on bikes in Calgary we got a percentage of a boondoggle ring road that locks our city into a further death spiral of car dependency, pollution, and sprawl.

The waste if mind boggling. #yycbike #yyccc #abpoli https://t.co/imT67vLmca",T,FA,n,-,
@mikesbloggity Calgary has a long way to go in terms of building the bike infrastructure that would make me feel comfortable taking my children for a ride anywhere off the bike paths.,T,FA,y,n,T
"I shit you not #Calgary !
The snow just stopped and #yycroads are a mess - nearly no snow or ice control during the fall.
BUT the bike sissy lanes down 3St SW from 26Ave to 17Ave are clear as phk.
Some @cityofcalgary union dullard in new bike lane tractor. 
Bikes seen ZERO! 🤮",T,FA,n,-,
Expanding Calgary's protected cycletrack network would not only enable more citizens to choose cycling for shorter trips it would also make space for low carbon delivery vehicles. #cargobikes #yyccc #yycbike #BikesAreClimateAction https://t.co/UNC65GS9Yy,T,FA,y,n,T
"I’ve said it before and, until other cities catch up, I’ll say it again: Canmore is doing the most progressive transportation planning in Alberta today. If this small mountain town can push the design envelope, you bet your big city can too! #yycbike #yegbike https://t.co/FI4me7Zjdj",T,FA,y,n,T
@inklessPW @JohnTory In Calgary the bike lanes generally get cleared before the roads. We mostly just wait for a chinook to come and melt the roads because clearing them would be expensive.,T,FA,y,n,T
"While this bylaw is welcome it does absolutely nothing to remove the fear that many Calgarians feel about cycling in their neighbourhoods.

If elected would you support investment in expanding the physically separated cycletrack network? #yycbike #yyccc #paintisnotinfrastructure https://t.co/PAQwctu7IX",T,TA,n,-,
"Alert, the bike talk in Calgary is heating up: SecretaryPete Not everyone who rides a bike has the luxury of having a convoy of Escalades driving them within two blocks of where they are cycling to.Jesse Andersondoesn’t give a fuckFalsehttps://twitter.com/1352036197/status/138386",T,FA,y,n,T
"@BillionaireDad Damn, so jealous of the amazing Calgary bike paths, enjoy showing your coworkers what's what!",T,TA,y,n,T
@kinsellawarren Just finished a 52.7 km bike ride on Calgary bike paths. No cars.😎,T,TA,y,n,T
"Want to help revitalize the struggling ground level businesses in downtown Calgary? 

Get rid of the damn bike lanes &amp; return the street parking. 

I assure you the c-trains running 80% empty &amp; dominated by addicts are not bringing money downtown.",T,FA,n,-,
@Yanky_Pollak @RebelNewsOnline Same in Calgary pedestrian’s actually walk in the bike lanes in the morning rush hour.,T,FA,y,n,T
"@bikecalgary Hi, thanks for the feedback Bike Calgary. Any concerns with pathways should be submitted through 311 for attention. Thank you.",T,FA,y,y,T
@nextcalgary @calgarybybike @BluHrGirl @bikecalgary @yycbike2school Calgary has more than 1k km of bike paths but none of these. It would be a great service for the bikers.,T,TA,y,n,T
"@JoeCanada4Life @JohnTory @JoshMatlow Yeah, Nenshi put a bunch of useless bike lanes in Calgary too. It's the progressive thing to do these days.",T,FA,y,n,T
"Would also be nice to see more of the pathways on @googlemaps streetview; again, great marketing of one of Calgary’s biggest competitive advantages...",T,TA,y,n,T
@Bret_Sears It going to take awhile to tear out the 200km’s of bike lanes he built. But when Calgary puts their mind to something...,T,FA,y,n,T
@WaygoodOwen @NACTO Calgary has a small section (5 blocks) with this on Stephen Avenue as part of the cycle track network https://t.co/XkYYBf1tIJ and is getting a facelift soon https://t.co/yON0bf3WEP,T,FA,y,n,T
"@TeamAdam76 In Calgary, the bikes lanes are shoveled first
Cleared of snow before the roads
Often before daylight
No one uses them
But they're cleared🙄

Who wants to ride a bike in -20 

Insanity!!",T,FA,n,-,
"@ryck_nancy We are so ""fucked by the fickled finger of FATE"" These guys cant be serious. Although in Calgary Bike lanes get cleared before Roads even if nobody uses it in minus 30",T,FA,y,n,T
Opened Shared Pedestrian and Cycling Path - Repair request via web at 550 Point Mc Kay Grove NW Northwest Calgary https://t.co/tc3vdOehpZ. The signage along the pedestrian and bike paths near edworthy park/point mckay is poor or non-existing. daily t...,T,FA,y,y,T
"@Addleben @cityofcalgary LOL yes I’m a hick, partly kidding but seriously the parking and bike lanes downtown Calgary are a bit ridiculous. I think y’all know already. 40kms is a little silly too why don’t you all get golf carts, very green and more space!",T,FA,y,n,T
#RFP: Bike Lanes Resurfacing Project The City of Calgary https://t.co/aO2cC1PiMi,T,FA,y,n,T
@DirtTruckDriver @joe381 @RachelNotley You guys are unserious. We live in a country and province where it's cold more months in a year than it's hot. Roads are supposed to be for cars &amp; I hope all the unrealistic bike lane &amp; walking 247 loving city councilors are all voted out this fall in Edmonton and Calgary.,T,TA,y,n,T
Did you know #bikelanes are associated with a 70% decrease in collisions? 😮This bike lane painting project was completed by the EverLine Calgary team! 👏 The project is sure to reduce collisions and improve safety in the #Calgary area. https://t.co/F7mDbSX2wf,T,FA,y,n,T
@NaomiWong1984 @corkyzhaman Bike lanes in Calgary and Edmonton are awful. My bike ride to work is far more efficient staying on the regular roads.,T,FA,y,n,T
"@DruhFarrell @brettbergie I once ran an informal poll, and this was voted the most awkward bike route in Calgary. And now I hear the road was designed with enough space for a bike lane but this was the choice made instead?! 🤯",T,FA,y,n,T
Thankful that some of the Calgary immunization sites are on bike friendly routes https://t.co/1yC1Rfc19i,T,FA,y,n,T
"@Citizen004 Would the last oil company in Calgary please turn off the lights? And don’t take Deerfoot, that’s now a bike lane.",T,FA,y,n,T
"Hard meh. Calgary's pathways have always had irresponsible users on them, primarily pathletes, and they are still the ones causing the most amount of conflict.

There are lots of issues with our pathway system, with ebikes being near the bottom of that list. #yycbike #yycwalk https://t.co/7FD5pRVNRg",T,FA,n,-,
"El mapa de marzo de 2022 es ""La ciudad de Calgary: Pathways and Bikeways Walk and Roll Map 2021"" de la ciudad de Calgary. Obtenga más información sobre cómo GIS ayuda a Calgary con sus esfuerzos activos de transporte: https://t.co/7sRhaZBd2H https://t.co/BG4s1Z8oyD",T,FA,n,-,T
@bclarkinAB @thismombikes Better design and attention to detail for bike infrastructure (whether it be recreational or commuting) is needed in Calgary.,T,TA,y,n,T
"@AllanCa05826729 @RachelNotley Oh how wonderful. Well let’s put a few more million dollars, plus maintenance, into bike paths for you and your dog and the 12 other people in Calgary that would freeze their junk off in winter, willingly. I’d like a zip line from my house to work too. Can we have that as well?",T,FA,y,n,T
Congratulations to my friends at  the Affordable &amp; Accessible Transportation table of the @AbAbilityNet and #BikeCalgary on being the recipients of the city of #Calgary’s 2021 Transportation Opportunities award for their work on the Safe and Accessible Pathways panel discussion.,T,FA,y,n,T
"@AJWVictoriaBC The interesting thing about bike lanes is that bikes are not confined to them, they are free to ride anywhere on the roadway whereas nobody can use those lanes except for the trickle of bikes that you see at most times of the day.  Every city has them too, Edmonton, Calgary etc",T,FA,y,n,T
I’ve just learned that Alberta governments fold to angry trucker protests. Let’s get some trucks and clog Calgary till we get more bike lanes. Who’s with me?,T,TA,y,y,T
@JyotiGondek So I for one would ask that you stick to bike lanes and development permits..both seem to he your forte. And leave the public health mandates to the experts. Thanks again for your service to the citizens of Calgary..,T,FA,y,n,T
LOVE this. I've been wondering why Calgary's bike lanes aren't colourful ever since I rode on these beauties in Winnipeg three years ago. 🎨 Colour makes everything better! #yycbike #yycwalk #yyccc https://t.co/zcUq3uf97F https://t.co/jx4GQzgd20,T,FA,y,y,T
"@BrentToderian I am pretty sure this was figured out in the Netherlands about 4 decades ago. Waiting for the first real bike path here in Calgary (not open like in the photo, not shared use with pedestrians, not speed restricted to walking pace).",T,FA,y,n,ta
