,Unnamed: 0.2,Unnamed: 0,level_0,index,Unnamed: 0.1,Unnamed: 0.1.1,id,author_id,text,hashtags,created_at,geo,like_count,quote_count,reply_count,retweet_count,possibly_sensitive,text_normalized,cluster,distance_from_level_1_centroid,sub_cluster,distance_from_level_2_centroid,emotion,emotion_score,Actionability
6047,6047,6047,11307,15061,15409,3410,1.47E+18,87878273,"Check This Out!
https://t.co/CKwKnRsUr2
#calgaryhomes #calgarybuzz #yychomes #yycliving #calgaryrealestate #yycrealestate #calgaryrealestate #yycrealtor #yyccalgary #therealestatecompany",#calgaryhomes #calgarybuzz #yychomes #yycliving #calgaryrealestate #yycrealestate #calgaryrealestate #yycrealtor #yyccalgary #therealestatecompany,2021-12-20T19:01:24.000Z,,0,0,0,0,FALSE,check this out!,8,1.034752488,2,0.703621686,joy,0.435320318,F
9855,9855,9855,12475,16629,17024,5025,1.46E+18,9.16E+17,"Do you know how many steps there are in the stairwell of the Calgary Tower?

802 😮

#TheMoreYouKnow #CalgaryTower #Calgary #YYC #YYCLiving
https://t.co/HzqNgNMvq7",#TheMoreYouKnow #CalgaryTower #Calgary #YYC #YYCLiving,2021-11-20T19:47:14.000Z,,0,0,0,0,FALSE,do you know how many steps there are in the stairwell of the calgary tower?802,13,1.072724223,3,1.05798912,joy,0.404923379,F
5574,5574,5574,9672,12829,13096,1097,1.49E+18,44194163,"Canadian Bike YouTube has crushed making the case for winter biking lately!

Shifter notes Calgary learned from mistakes &amp; got better at snow removal... lesson for NYC, where greenways are managed separate from street lanes &amp; some are snowbound for days

https://t.co/njKDXnYc5e https://t.co/0aDcFCegAI",,2022-02-11T16:03:01.000Z,,1,0,1,0,FALSE,"canadian bike youtube has crushed making the case for winter biking lately!shifter notes calgary learned from mistakes &amp; got better at snow removal... lesson for nyc, where greenways are managed separate from street lanes &amp; some are snowbound for days ",7,0.80144316,10,0.876537323,sadness,0.786300778,F
6010,6010,6010,10304,13720,14026,2027,1.48E+18,1.47E+18,"Intensive Anti-Aging: https://t.co/fuWoyMXz7n 
.
#Canada #BritishColumbia #Alberta #Saskatchewan #Manitoba #Ontario #Quebec #NewBrunswick #NovaScotia #Newfoundland #Yukon #shareyyc #calgary #yyc #yycnow #yycliving #yycbuzz #exploreberta #downtownvancouver #calgaryliving #Toronto https://t.co/nbBNmUHqvH",#Canada #BritishColumbia #Alberta #Saskatchewan #Manitoba #Ontario #Quebec #NewBrunswick #NovaScotia #Newfoundland #Yukon #shareyyc #calgary #yyc #yycnow #yycliving #yycbuzz #exploreberta #downtownvancouver #calgaryliving #Toronto,2022-01-21T21:43:24.000Z,,0,0,0,1,FALSE,intensive anti-aging  .,8,1.119660139,1,0.86775279,sadness,0.686513662,F
10365,10365,10365,10914,14552,14887,2888,1.48E+18,1272429684,It has been a long time since I have been to my home town #Calgary... I had forgotten how lovely it is  in the winter &amp; what absolutely great parks it has. Thanks  @CalgaryParks https://t.co/m1F5vFp0jX,#Calgary,2022-01-03T04:36:27.000Z,,8,0,1,0,FALSE,it has been a long time since i have been to my home town calgary... i had forgotten how lovely it is  in the winter &amp; what absolutely great parks it has. thanks   ,13,1.093795538,9,1.242362738,love,0.994564652,T
6473,6473,6473,2129,2696,2739,2739,1.42E+18,293654204,"We are dedicated to offering high-quality services and products to our customers every time.

To learn more, give us a call at (403) 250-3722.
https://t.co/NSRiCV5von
#calgarytower #yyc #yycliving #yycnow #mycalgarytower #travelalberta #albertatourism #exploreyyc #explorealberta",#calgarytower #yyc #yycliving #yycnow #mycalgarytower #travelalberta #albertatourism #exploreyyc #explorealberta,2021-07-27T19:26:36.000Z,,0,0,0,0,FALSE,"we are dedicated to offering high-quality services and products to our customers every time.to learn more, give us a call at (403) 250-3722.",8,0.923212349,6,0.940621138,joy,0.99679774,F
2611,2611,2611,13825,18454,18880,6881,1.45E+18,2866723569,REALLY slow traffic NB MacLeod @ Stoney Trail. Road work. Down to 1 lane. #yyctraffic #yycroads. @yyctraffic https://t.co/ZyORJBCTJm,#yyctraffic #yycroads,2021-10-16T20:17:28.000Z,,0,0,1,0,FALSE,really slow traffic nb macleod @ stoney trail. road work. down to 1 lane. yyctraffic yycroads.  ,3,0.905353189,2,1.249649167,fear,0.717817008,T
3406,3406,3406,11468,15273,15629,3630,1.47E+18,18982486,UPDATE: Plenty of #Gridlock feels downtown with temporary closures on a series of routes. #yyc #yyctraffic #yycroads #abroads #660traffic https://t.co/yekNoZOIGw,#Gridlock #yyc #yyctraffic #yycroads #abroads #660traffic,2021-12-16T17:25:16.000Z,,0,0,1,0,FALSE,update plenty of gridlock feels downtown with temporary closures on a series of routes.,3,0.94209677,9,1.187386513,sadness,0.734274685,T
234,234,234,9062,12032,12269,270,1.50E+18,9.16E+17,"Happy Wednesday, #YYC 😀

#CalgaryLiving #YYCLiving #CalgaryTower #GetMoby https://t.co/LmFrujgKLc",#YYC #CalgaryLiving #YYCLiving #CalgaryTower #GetMoby,2022-03-02T19:00:10.000Z,,0,0,0,0,FALSE,"happy wednesday,",0,1.099716544,4,0.984299481,joy,0.998120725,F
2119,2119,2119,14571,19460,19900,7901,1.44E+18,1.44E+18,We have a great menu for another beautiful fall week 🍂And don’t forget to place your Oktoberfest orders by end of day Tuesday for Friday pickup https://t.co/ccuaL2dxyT  #eatlocal #mardaloop #yycfood #yyceats #yyctakeout #yycevents #yyc #calgary #yycliving https://t.co/J5omYZ0zx8,#eatlocal #mardaloop #yycfood #yyceats #yyctakeout #yycevents #yyc #calgary #yycliving,2021-09-27T22:44:52.000Z,,0,0,0,0,FALSE,we have a great menu for another beautiful fall week and dont forget to place your oktoberfest orders by end of day tuesday for friday pickup,2,1.12272191,2,1.003758669,joy,0.947705567,F
1714,1714,1714,1171,1475,1500,1500,1.43E+18,386458231,@e_backstrom @roamtransit Parks Canada has always been firm that they won't provide extra land for parking and so that means Banff &amp; Canmore need to make alternate plans such as the one in Zion National Park where buses are the only way to access park sites or the revival of a train system from Calgary.,,2021-08-16T18:00:23.000Z,,1,0,1,0,FALSE,  parks canada has always been firm that they won't provide extra land for parking and so that means banff &amp; canmore need to make alternate plans such as the one in zion national park where buses are the only way to access park sites or the revival of a train system from calgary.,1,0.862061501,11,1.25699532,joy,0.88251996,T
1343,1343,1343,12535,16709,17105,5106,1.46E+18,14679784,"@alan_poirier High River and Calgary know this all to well, but instead of building parks in the river valleys cities and towns let developers build river side homes, forgetting about the 100 year flood plains.",,2021-11-19T00:03:56.000Z,,5,0,1,0,FALSE," high river and calgary know this all to well, but instead of building parks in the river valleys cities and towns let developers build river side homes, forgetting about the 100 year flood plains.",1,0.952304959,6,0.875942647,sadness,0.974547863,T
3161,3161,3161,4126,5295,5388,5388,1.41E+18,18984207,W of #yyc ... crash in the intersection of Springbank Rd at RR31.  Caller reports up to 3 vehicles involved.  Emerg crews arriving. #yyc #yyctraffic #yycroads #abroads https://t.co/mT74mFqTDe,#yyc #yyc #yyctraffic #yycroads #abroads,2021-06-17T15:31:28.000Z,,1,0,0,0,FALSE,w of yyc ... crash in the intersection of springbank rd at rr31.  caller reports up to 3 vehicles involved.  emerg crews arriving.,3,0.953941345,7,1.012012601,fear,0.990782797,F
6345,6345,6345,3042,3869,3937,3937,1.41E+18,44137101,"“Life is all about Ball” ~ Pepper DeVille

#pepperdeville #yyc #yycdogs #dogs #bostonterrier #bostonterriers #dog #yycliving #calgarydogs #love #ilo https://t.co/UHaLJ7Cw5a",#pepperdeville #yyc #yycdogs #dogs #bostonterrier #bostonterriers #dog #yycliving #calgarydogs #love #ilo,2021-07-10T03:37:51.000Z,,2,0,0,0,FALSE,life is all about ball ~ pepper devillepepperdeville,8,1.110208035,5,1.102184296,joy,0.682435274,F
8034,8034,8034,2093,2644,2686,2686,1.42E+18,3000598092,"5985 #yycbike trips were counted on street on Tue Jul 27

Busiest:
5th St Underpass: 1558
5th St and 4th Ave: 1040
12th Ave and 8th St SW: 737",#yycbike,2021-07-28T14:21:54.000Z,,0,0,0,0,FALSE,5985 yycbike trips were counted on street on tue jul 27busiest5th st underpass 15585th st and 4th ave 104012th ave and 8th st sw 737,11,0.830815613,8,0.979749143,joy,0.470693171,T
2730,2730,2730,15061,20103,20553,8554,1.44E+18,18984207,"DEBRIS reported in the SE on D'Foot Tr, NB after Peigan Tr, blocks RHL.  Caller reports a ""large white box"" in the RHL. #yyc #yyctraffic #yycroads #abroads https://t.co/32qZXNCeb9",#yyc #yyctraffic #yycroads #abroads,2021-09-16T17:46:19.000Z,,0,0,0,0,FALSE,"debris reported in the se on d'foot tr, nb after peigan tr, blocks rhl.  caller reports a ""large white box"" in the rhl.",3,1.055948257,3,1.046608806,fear,0.969497263,T
5629,5629,5629,13723,18319,18744,6745,1.45E+18,1.16E+18,"@doug_schweitzer @nenshi good riddens!.you have damaged the entrepreneurship and business in our city and destroyed downtown. Your bike lanes and heavy increases in business taxes have resulted in businesses leaving downtown in droves, and Calgary as a whole. Reckless spending &amp; ridiculous taxes",,2021-10-18T17:39:44.000Z,,0,0,0,0,FALSE,"  good riddens!.you have damaged the entrepreneurship and business in our city and destroyed downtown. your bike lanes and heavy increases in business taxes have resulted in businesses leaving downtown in droves, and calgary as a whole. reckless spending &amp; ridiculous taxes",7,0.817624867,10,1.067262769,sadness,0.92277056,F
10437,10437,10437,1438,1819,1846,1846,1.43E+18,1651572684,"Looking for a police procedural set in picturesque Canada? Let @pdworkmanauthor take you her favourite Calgary parks, as Métis detective Margie Patenaude investigates a murder in this fast-paced new series. #books #amreading #mystery #booklaunch

https://t.co/PE0Dowz3rm",#books #amreading #mystery #booklaunch,2021-08-11T14:30:25.000Z,,2,0,0,1,FALSE,"looking for a police procedural set in picturesque canada? let  take you her favourite calgary parks, as mtis detective margie patenaude investigates a murder in this fast-paced new series.",13,0.95004046,10,0.972629964,joy,0.983432353,F
3976,3976,3976,11364,15138,15490,3491,1.47E+18,1.18E+18,STOLEN - Blue Trek Farley 9.6 in Rosedale https://t.co/LEqoKa6rqz #yycbike,#yycbike,2021-12-18T18:24:51.000Z,,0,0,0,0,FALSE,stolen - blue trek farley 9.6 in rosedale,4,1.016338944,5,0.947637856,fear,0.732687533,T
2739,2739,2739,8767,11644,11868,11868,1.37E+18,365249229,Opened Snow on Road request via iphone at 153 Auburn Bay Cm SE https://t.co/A47ofn3630. Is it possible to get a snow plow with sand to come to the alley. i cannot get my bike out down the alley. https://t.co/8ui477WH6i,,2021-03-11T14:24:51.000Z,"{'coordinates': {'type': 'Point', 'coordinates': [-113.97039733, 50.89182088]}, 'place_id': '53504716d445dcad'}",0,0,0,0,FALSE,opened snow on road request via iphone at 153 auburn bay cm se . is it possible to get a snow plow with sand to come to the alley. i cannot get my bike out down the alley. ,3,0.950966895,3,1.052197933,fear,0.812709928,T
1993,1993,1993,748,948,961,961,1.43E+18,1.36E+18,"@shawnmicallef Not just booze in parks this year - remember the urge to ticket homeless people in spring 2020 for sitting on benches or picnicking in parks (when places like Winnipeg and Calgary, let alone Singapore and South Korea, were encouraging people to be outside).",,2021-08-25T01:46:35.000Z,,0,0,0,0,FALSE," not just booze in parks this year - remember the urge to ticket homeless people in spring 2020 for sitting on benches or picnicking in parks (when places like winnipeg and calgary, let alone singapore and south korea, were encouraging people to be outside).",1,0.975119829,17,0.949946165,sadness,0.656286776,F
812,812,812,7690,10128,10328,10328,1.38E+18,8.62E+17,"Tacos! That’s about all we have to say about it. (Ps - if you haven’t tried them.... you probably should) 
Here until 10pm! 
#mlbc #yyceats #yycliving https://t.co/1IAVJRrZNN",#mlbc #yyceats #yycliving,2021-04-03T23:12:34.000Z,{'place_id': '53504716d445dcad'},1,1,1,1,FALSE,tacos! thats about all we have to say about it. (ps - if you havent tried them.... you probably should) here until 10pm!,0,1.103682399,16,0.878615379,anger,0.663641572,F
8189,8189,8189,14825,19790,20238,8239,1.44E+18,3000598092,"3250 #yycbike trips were counted on street on Tue Sep 21

Busiest:
8th Ave at 8th St SW: 865
5th St and 4th Ave: 682
5th St and 15th Ave: 577",#yycbike,2021-09-22T14:26:22.000Z,,0,0,0,0,FALSE,3250 yycbike trips were counted on street on tue sep 21busiest8th ave at 8th st sw 8655th st and 4th ave 6825th st and 15th ave 577,11,0.865944207,11,1.020229816,joy,0.388684601,T
7185,7185,7185,797,1010,1026,1026,1.43E+18,27682406,Good one for the #yycbike fam to know about ❤️ https://t.co/cnfYf1gjOA,#yycbike,2021-08-24T02:13:40.000Z,,9,0,0,4,FALSE,good one for the yycbike fam to know about  ,8,1.07466805,12,0.831144154,joy,0.993797362,F
560,560,560,9220,12244,12488,489,1.50E+18,9.11E+17,Highlight of the Week and Weekend Ready!  #thelashnestyyc #yyclashes #lashes #shoplocalyyc #legacyyyc #lashextensions #colorlashes #lash #lashlift #lashliftandtint #volumelashes #waxing #lashescalgary #lashtherapy #yycliving #yycbusiness #yycsmallbusiness #yycwomen #waldenyyc https://t.co/IXg2G8ClBZ,#thelashnestyyc #yyclashes #lashes #shoplocalyyc #legacyyyc #lashextensions #colorlashes #lash #lashlift #lashliftandtint #volumelashes #waxing #lashescalgary #lashtherapy #yycliving #yycbusiness #yycsmallbusiness #yycwomen #waldenyyc,2022-02-25T17:01:11.000Z,,0,0,0,0,FALSE,highlight of the week and weekend ready!,0,1.096392632,10,0.882527113,joy,0.974964619,F
5188,5188,5188,5057,6592,6701,6701,1.40E+18,3220934809,"@ShawnMenard1 Our street looks like it was hit by a meteor shower. Please compare tax rates to places like Calgary, Edmonton, Winnipeg, which all do not have the NCC managing huge bits of their infrastructure, yet have bike paths etc. and lower taxes by a huge margin.",,2021-05-29T12:20:15.000Z,,2,0,1,0,FALSE," our street looks like it was hit by a meteor shower. please compare tax rates to places like calgary, edmonton, winnipeg, which all do not have the ncc managing huge bits of their infrastructure, yet have bike paths etc. and lower taxes by a huge margin.",7,0.809007168,2,0.885846972,joy,0.804581165,T
8387,8387,8387,2131,2699,2743,2743,1.42E+18,928466648,Cycling group improves mood and provides physical and social benefits for residents. https://t.co/rNa8HCkca6 #yycbike https://t.co/y7CfSPYq1r,#yycbike,2021-07-27T18:20:00.000Z,,1,0,0,0,FALSE,cycling group improves mood and provides physical and social benefits for residents.,12,1.006292343,0,0.68537277,joy,0.995539844,F
3799,3799,3799,2611,3333,3392,3392,1.42E+18,1.18E+18,STOLEN - Black Cannondale Synapse  Women  54cm in Coach Hill https://t.co/PcOUY82XdK #yycbike https://t.co/fh2vXfnd5k,#yycbike,2021-07-17T20:08:59.000Z,,0,0,0,0,FALSE,stolen - black cannondale synapse  women  54cm in coach hill,4,1.017902493,1,1.192146301,fear,0.911195099,T
1915,1915,1915,2596,3316,3375,3375,1.42E+18,21037096,The Alberta government is offering residents the opportunity to explore the province's parks and participate in special activities by dropping a controversial fee imposed just a short time ago. @CTVMFranklin  https://t.co/WpY2UrXk7R,,2021-07-18T00:30:11.000Z,,4,1,1,3,FALSE,the alberta government is offering residents the opportunity to explore the province's parks and participate in special activities by dropping a controversial fee imposed just a short time ago.   ,1,0.863576233,14,0.961438715,anger,0.923461616,F
