,Unnamed: 0,id,author_id,text,hashtags,created_at,geo,like_count,quote_count,reply_count,retweet_count,possibly_sensitive,Actionability
13247,1248,1.49E+18,2688537468,#yycbike https://t.co/GmQlzHrUDk,#yycbike,2022-02-08T15:25:02.000Z,,6,0,0,0,FALSE,F
20506,8507,1.44E+18,1.18E+18,STOLEN - Gray Merlin Cyrene  in Elbow Park https://t.co/Orw21gUsGs #yycbike,#yycbike,2021-09-17T15:24:21.000Z,,0,0,0,1,FALSE,A
8326,8326,1.39E+18,9.79E+17,"TODAY: If you haven't brushed up on your Guide (fka Guidebook) background, here's the place to start.   

Discussion comes up today at the Planning and Urban Development meeting at 9:30 a.m. #yyc #yyccc #calgary #yycplan 

https://t.co/icBaW7BzXm",#yyc #yyccc #calgary #yycplan,2021-05-05T15:02:00.000Z,,3,2,0,2,FALSE,F
8050,8050,1.39E+18,365249229,"Opened Tree Maintenance - City Owned request via iphone at 181 Inglewood Pa SE https://t.co/GhJb5bBgCl. New trees planted fall of 2020 in new small park area near bike path, se corner of pearce estates park. concern: 24 trees have not been collared t... https://t.co/DNfnYOiiiE",,2021-05-09T20:59:29.000Z,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.01281613, 51.03947743]}}",0,0,0,0,FALSE,F
19702,7703,1.44E+18,87878273,"Insufficient housing supply boosted home prices again in August
https://t.co/elErQoR2gx
#calgaryhomes #calgarybuzz #yychomes #yycliving #calgaryrealestate #yycrealestate #calgaryrealestate #yycrealtor",#calgaryhomes #calgarybuzz #yychomes #yycliving #calgaryrealestate #yycrealestate #calgaryrealestate #yycrealtor,2021-10-01T16:32:00.000Z,,1,0,0,0,FALSE,F
19689,7690,1.44E+18,1.18E+18,STOLEN - Red Specialized Pitch 27.5 in Symons Valley https://t.co/TyhJ2SbvX7 #yycbike https://t.co/cQr9DGORol,#yycbike,2021-10-01T18:50:13.000Z,,0,0,0,0,FALSE,A
11160,11160,1.37E+18,1.37E+18,"Alert, the bike talk in Calgary is heating up: windsofjane Colour! Flowers. Spring rains to wash the dust away. More hikes. And bike rides.Leigh McAdamAvid world traveler. Craves adventure &amp; the odd wildly epic day. Gardener. Reader. Wine lover. Author of Discover Canada: 100 Ins",,2021-03-21T00:12:07.000Z,,1,0,0,0,FALSE,F
6049,6049,1.40E+18,65128365,"@desmondbliek TBF there's nothing close to Calgary's harmful car culture and extensive freeway system in Vancouver either, with just a handful of limited access routes.

There are lots of bike paths in the city, but riverfront is definitely lacking. https://t.co/cPoSOfZ4dU",,2021-06-07T14:36:02.000Z,,0,0,0,0,FALSE,A
14227,2228,1.48E+18,18984207,"A (mostly) sunny Monday to start the #WorkWeek.

Weather conditions changing tonight. Prepare for a slower commute overnight and Tuesday AM! #yyc #yyctraffic #yycroads #abroads #660traffic #yycweather

(PIC: 16 Ave at 36 st NE.) https://t.co/GiN4v9u3j4",#WorkWeek #yyc #yyctraffic #yycroads #abroads #660traffic #yycweather,2022-01-17T18:40:58.000Z,,0,0,0,1,FALSE,F
16839,4840,1.46E+18,138913667,Don’t they know we have 10 months of winter?!?!?! #yycbike https://t.co/wDoQy3Pa1H,#yycbike,2021-11-24T05:57:46.000Z,,35,0,3,1,FALSE,F
15609,3610,1.47E+18,1.41E+18,We are beyond excited to announce our new partner Cactus Bike &amp; Ski! Their generosity will allow us to further our cause and donate bicycles to financially disadvantaged children. You can donate using our innovative TipTap donation devices located at their store in Calgary. https://t.co/ouml4WJCsd,,2021-12-16T21:54:06.000Z,,0,0,0,0,FALSE,F
5005,5005,1.41E+18,293654204,"'No Yoke, the Refreshed Tesla Model S Ditches the Round Steering Wheel Entirely'
@MotorTrend
403.250.3722
1725 32 Ave NE Calgary AB
https://t.co/H25lIEH7nH
https://t.co/36HZhjPkHo
#yyc #yycnow #yycliving #yycroads #calgarylife #calgaryliving #calgarynow",#yyc #yycnow #yycliving #yycroads #calgarylife #calgaryliving #calgarynow,2021-06-22T16:42:55.000Z,,0,0,0,0,FALSE,F
13197,1198,1.49E+18,91838228,"Contact Integra Inspections today for a thorough home inspection! https://t.co/3QmhSEA0CL

🏡 #IntegraInspections #yyc #calgary #yycliving #calgaryhomes #calgaryproperties #calgaryrealestate #homeinspection #homeinspector #calgaryhomeinspector #propertyassessment https://t.co/QyldCJ41dj",#IntegraInspections #yyc #calgary #yycliving #calgaryhomes #calgaryproperties #calgaryrealestate #homeinspection #homeinspector #calgaryhomeinspector #propertyassessment,2022-02-09T16:01:37.000Z,,0,0,0,0,FALSE,F
16499,4500,1.47E+18,636735918,"The Dream Team, a series by IG Wealth Management available on CBC GEM, helped us focus on a better solution to save the world one bike at a time. This is our story; https://t.co/3iF8B4i5jq
Thanks @IGWealthMgmt @cbcgem @manjitminhas 
@MixedUpMoney @ChopValue_YYC @yycbikeguy #yyc",#yyc,2021-12-01T02:32:03.000Z,,3,0,0,1,FALSE,F
5353,5353,1.41E+18,36522865,We are getting closer to our goal!! But still have a ways to go and with only 10 hours left. Help us! https://t.co/veC0rKPcnG #alberta #yyc #yeg #raffle #yycbike #yegbike #yycbiz #yegbiz,#alberta #yyc #yeg #raffle #yycbike #yegbike #yycbiz #yegbiz,2021-06-17T20:57:49.000Z,,2,0,0,1,FALSE,F
15157,3158,1.48E+18,1.27E+18,@cityofcalgary so is it protocol or budget to only clean one lane out of 3? We’re almost a week into this bullshit and no signs of proper snow removal. This is ridiculous!! Do better. #yycroads,#yycroads,2021-12-27T05:27:28.000Z,,1,0,0,0,FALSE,A
3633,3633,1.42E+18,26310303,"Irresponsible and unsustainable sprawl is crushing Calgary's finances. 

The ""fiscal Conservatives"" on #yyccc who complain endlessly about bike lanes and public art but voted for 14 new communities and champion suburban development are full of 💩.

https://t.co/aztvZTsgyF",#yyccc,2021-07-14T15:29:00.000Z,,96,3,3,16,FALSE,A
16650,4651,1.46E+18,103680135,"Hi. 👋 (📸: _in_the_rockies on Instagram)
.
.
#yyc #yycliving #yycnow #downtowncalgary #tourismcalgary #calgarytower #mycalgarytower #weekend #weekendvibes #saturday https://t.co/bPbkvabwYa",#yyc #yycliving #yycnow #downtowncalgary #tourismcalgary #calgarytower #mycalgarytower #weekend #weekendvibes #saturday,2021-11-27T21:14:02.000Z,,1,0,0,1,FALSE,F
17079,5080,1.46E+18,3000598092,"1534 #yycbike trips were counted on MUPs on Thu Nov 18

Busiest:
Peace Bridge: 425
Memorial Drive at 19th St NW: 336
Glenmore Pathway near Glenmore Landing: 297",#yycbike,2021-11-19T14:27:12.000Z,,0,0,0,0,FALSE,A
14249,2250,1.48E+18,3000598092,"537 #yycbike trips were counted on MUPs on Sun Jan 16

Busiest:
Peace Bridge: 176
Memorial Drive E of Prince's Island Bridge: 129
South Bow River at 11th St SW: 99",#yycbike,2022-01-17T14:27:43.000Z,,0,0,0,0,FALSE,A
14644,2645,1.48E+18,328217343,It's going to cost you more to visit national parks across Canada this year | News https://t.co/FeX7OcmVeY,,2022-01-08T08:51:48.000Z,,0,0,0,0,FALSE,F
4730,4730,1.41E+18,25581084,"Previously underutilized space now supports pop-up patios such that barriers to mobility are not required! Hopefully, pandemic times teach us we need to preserve larger setbacks to accommodate future needs.  Let's not be fixated on just cramming everything in now! #yycplan https://t.co/vuaOFvViHa",#yycplan,2021-06-26T18:21:34.000Z,,3,0,0,0,FALSE,A
19229,7230,1.45E+18,277727944,"Good morning, #YYC! Sunrise today on October 10, 2021 at 07:52AM, with a high of 12C. Have a great day! #calgary #weather #kxcalgary #yycnow #yycliving",#YYC #calgary #weather #kxcalgary #yycnow #yycliving,2021-10-10T14:19:23.000Z,,1,0,0,0,FALSE,F
10631,10631,1.38E+18,73037632,"Access to natural spaces is paramount to our wellbeing!
#yycnow #yycliving #yyc https://t.co/5PQLSgfhIJ",#yycnow #yycliving #yyc,2021-03-29T16:38:32.000Z,,0,0,0,0,FALSE,F
17626,5627,1.46E+18,1.37E+18,"News on #SpruceMeadows!!! breoniemacmIt’s nice to see you too, spruce_meadows 🐴

#calgary #yyc #yycliving #sprucemeadows  Spruce Meadows https://t.co/hAkPrKqmkL",#SpruceMeadows #calgary #yyc #yycliving #sprucemeadows,2021-11-09T02:54:44.000Z,,0,0,0,0,FALSE,F
2741,2741,1.42E+18,264686061,@EWoolleyWard8 This is great but also a missed opportunity to finally decide on a consistent city-wide colour for our bike lanes. To avoid messes like in front of Peace Bridge and generally along the river front where many pedestrians still mistake the bike lanes for MUPs. #yycbike,#yycbike,2021-07-27T18:38:07.000Z,,2,0,0,1,FALSE,A
11086,11086,1.37E+18,412552504,Yo! @cityofcalgary @yyctransport build them and they will come! #yycbike https://t.co/51JsncKE4c,#yycbike,2021-03-22T14:17:06.000Z,{'place_id': '53504716d445dcad'},4,0,0,0,FALSE,F
2071,2071,1.42E+18,3000598092,"5336 #yycbike trips were counted on street on Fri Aug 06

Busiest:
5th St Underpass: 1513
5th St and 4th Ave: 777
12th Ave and 8th St SW: 643",#yycbike,2021-08-07T14:20:59.000Z,,0,0,0,0,FALSE,A
7367,7367,1.39E+18,490994576,"I'd love to little #yycbike sign, however... 1/2 https://t.co/BxsFH4jYIB",#yycbike,2021-05-19T00:34:19.000Z,,1,0,1,0,FALSE,F
5847,5847,1.40E+18,1.34E+18,"Are you a Beginner Mountain Biker keen to learn the fundamental bike skills? Well you should join Flow for our Beginner Skills Course in Canmore this weekend - June 12-13 as we have a few limited spots avail!

https://t.co/M7qdSNboQs

@CMBALink @mmbtsinfo @XCBraggCreek #yyc #yeg https://t.co/ZOr9GysrOd",#yyc #yeg,2021-06-10T18:18:22.000Z,"{'coordinates': {'type': 'Point', 'coordinates': [-115.326976, 51.0558208]}, 'place_id': '0e9966c128992fda'}",2,0,0,0,FALSE,F
17265,5266,1.46E+18,1.18E+18,STOLEN - Black Norco Bikes Fluid FS 2 in South Calgary https://t.co/qOssHIBjtL #yycbike,#yycbike,2021-11-16T16:48:06.000Z,,0,0,0,2,FALSE,A
9185,9185,1.38E+18,800577619,"This is heartbreaking reality of wild life in Calgary, we had an injured bobcat, finally died, it hypocritical to say we put one animals care, clearly moms been sick #yyc 
Calgary woman desperate to help 2 sick moose wandering her neighbourhood | CBC News https://t.co/MqFTEbLF9y",#yyc,2021-04-21T18:06:21.000Z,,0,0,0,0,TRUE,A
15887,3888,1.47E+18,9.79E+17,"The city is hoping to capture people's attention using a familiar community building tool. #yyc #yycplan #calgary #yyccc 

https://t.co/5gqcokXJX4",#yyc #yycplan #calgary #yyccc,2021-12-11T18:49:00.000Z,,2,0,0,1,FALSE,F
7002,7002,1.40E+18,1182950006,"Instead of asking ""what's wrong with you,"" ask ""What happened to you as a child?"" By better understanding experiences young people had, we can better support them as adults to build resilience and strength for moving forward.

#listenandlearn #asktherightquestions #yycliving https://t.co/qEUrwA4Zxp",#listenandlearn #asktherightquestions #yycliving,2021-05-25T14:15:06.000Z,,0,0,0,0,FALSE,F
6808,6808,1.40E+18,25139472,"@erinchrusch @EWoolleyWard8 This is what I'm talking about: cycle tracks that confusingly cross sidewalks, that don't line up with ramps, that suddenly become mixed use. #yycwalk #yycbike #cycletrack #yyccycletrack @DaleCalkins https://t.co/CKGAqsquoN",#yycwalk #yycbike #cycletrack #yyccycletrack,2021-05-27T22:50:27.000Z,,0,0,1,0,FALSE,A
1510,1510,1.43E+18,9.10E+17,"Come to our 🌈Calgary Pride Flea Market🌈 on August 29th to have all your art needs met by @inglewood_art 🎨! 

#yyc #yycevents #yycliving #supportlocalyyc #yycpride #yycbusiness https://t.co/cdJVYxhwgm",#yyc #yycevents #yycliving #supportlocalyyc #yycpride #yycbusiness,2021-08-16T15:02:05.000Z,,0,0,0,1,FALSE,F
14626,2627,1.48E+18,111772723,"@Matticusssss @bclarkinAB @TinyBeaches We have a livable streets coordinator &amp; team &amp; the mission, under the re-org, is to action our #5A policy across all teams working on the ground. I’m not sure we need/want a #yycbike-specific person? But I like the dare, enable, invite framework: calibrate #yyc examples for me?",#5A #yycbike #yyc,2022-01-08T18:29:50.000Z,,4,0,2,0,FALSE,F
13405,1406,1.49E+18,125082324,It’s a hard no in #yycplan. I know of a site with THREE layers of setbacks that build on each other… https://t.co/WuwvpoQxPS,#yycplan,2022-02-05T01:42:55.000Z,,1,0,1,0,FALSE,A
6965,6965,1.40E+18,2860749516,"Have you signed up for our town hall about the North Hill Communities Local Area Plan? 

Join us on Thursday evening for another conversation about the future of planning in #yyc!

Drop us a question when you register: https://t.co/4Wl834DErr #yycplan #yyccc https://t.co/XDEmcE7AlK",#yyc #yycplan #yyccc,2021-05-26T03:06:17.000Z,,0,1,0,2,FALSE,F
15999,4000,1.47E+18,1.11E+18,"@yegairshed Thank you for your apology!
Perhaps you could share info with @cityofcalgary, where they think it’s acceptable to destroy AQ in parks.
https://t.co/JfZpz5w4s7",,2021-12-09T17:54:01.000Z,,1,0,0,0,FALSE,F
8800,8800,1.39E+18,1.37E+18,"Alert, the bike talk in Calgary is heating up: In Chad’s crazy bike rides in the last two I put in 66km and have been crushing PR #yycbikeChad 🇨🇦Flames/Stamps/NY JetsFalsehttps://twitter.com/222684197/status/138718013429416755413871801342941675541387180134294167554Tue Apr 27 23:0",#yycbikeChad,2021-04-27T23:11:55.000Z,,0,0,0,0,FALSE,F
17415,5416,1.46E+18,138913667,"These are excellent! Great examples that you can do simple buildings beautifully IF you prioritise quality materials and meaningful facade depth. So much better than the fussy articulation, clip-on materials, inefficient stepbacks, and flaaaaaaat facades we see so often. #yycplan https://t.co/AHY1o4P9vg",#yycplan,2021-11-13T16:04:58.000Z,,34,0,1,2,FALSE,A
984,984,1.43E+18,1354634546,Heads up #yycbike https://t.co/2EYr6RF6xK,#yycbike,2021-08-24T18:09:05.000Z,,1,0,0,0,FALSE,F
10910,10910,1.37E+18,325766664,"It's bike season!  Ready to study for your Class 6 knowledge test?  Here's a link to the Rider’s Guide to the operation, safety and licensing of motorcycles, mopeds and power-assisted bicycles:

https://t.co/ZNCvFiUboY

#yyc #motorcycletest #roadtest #motorcycletraining https://t.co/AhCKWrcl4Z",#yyc #motorcycletest #roadtest #motorcycletraining,2021-03-24T17:58:51.000Z,,2,1,0,0,FALSE,F
14113,2114,1.48E+18,36433167,"Each of our social channels posts exclusive content so make sure to follow along with all of them! ⬇️⬇️⬇️ 
Instagram: https://t.co/5MPhCpjvmi
Facebook: https://t.co/RRyv7gRD6o
LinkedIn: https://t.co/Uo2QtpKEwq  
#yycbusiness #yycliving #yyclocal #yyc #AboutStaffing https://t.co/qMpbAS25cA",#yycbusiness #yycliving #yyclocal #yyc #AboutStaffing,2022-01-19T22:01:32.000Z,,0,0,0,0,FALSE,F
13778,1779,1.49E+18,247655077,"Good news but frustrating. 

Time and time again, the UCP announces huge changes without consultation or any consideration of evidence or best practices.

Remember the Coal Policy? Parks? 

We are wasting so much money reversing bad policy  #abpoli 

https://t.co/5vMHqvjUJU",#abpoli,2022-01-27T20:22:15.000Z,,7,0,0,0,FALSE,F
9849,9849,1.38E+18,226364959,"Monday Motivation 💪🌞

#dreamhome #yycliving #vancouverliving  #vancouverhomes #yvr #okanaganlifestyle #okanaganliving #kelownaliving https://t.co/8kvsc4IpbD",#dreamhome #yycliving #vancouverliving #vancouverhomes #yvr #okanaganlifestyle #okanaganliving #kelownaliving,2021-04-12T12:02:13.000Z,,1,0,1,0,FALSE,F
13145,1146,1.49E+18,1354634546,Riding back from the car dealership to service my car &amp; decided to detour to my favorite (&amp; frankly the best in the city) 4.5km  downhill stretch of pathway on my Tern for a joyous speed cruise. 😃👍🏻 #yycbike https://t.co/3UGHG7YfEY,#yycbike,2022-02-10T16:04:55.000Z,,8,0,0,0,FALSE,F
1000,1000,1.43E+18,1.18E+18,STOLEN - Black Santa Cruz BLUR LT in Downtown https://t.co/6OnYYmvydt #yycbike,#yycbike,2021-08-24T15:15:25.000Z,,0,0,0,0,FALSE,A
6889,6889,1.40E+18,132327591,"OK, now I want to move back. 😭😭😭

https://t.co/0vZfdjdjJy",,2021-05-26T23:12:41.000Z,,0,0,0,0,FALSE,F
6344,6344,1.40E+18,109315305,"City ranking by @PeopleForBikes highlights top 5 Canadian: ""Five Great Canadian Bike Cities"" (all great cities, unfortunately, none great 'bike cities'). Montreal, Calgary, Fredericton, Ottawa, Vancouver.  https://t.co/wpGRVkR8NB https://t.co/rm3ovep3k4",,2021-06-03T14:26:09.000Z,,9,1,1,2,FALSE,F
4705,4705,1.41E+18,2161988226,"It’s blazing hot outside! 🥵 a great night for painting fire in an air conditioned studio! 
.
.
#yycart #yycnow #calgarybuzz #yycliving #paintnight #paintandsip #paintandwine #yyclife #girlsnight #paintparty #datenightyyc https://t.co/GrNU6r3RNJ",#yycart #yycnow #calgarybuzz #yycliving #paintnight #paintandsip #paintandwine #yyclife #girlsnight #paintparty #datenightyyc,2021-06-27T03:42:10.000Z,"{'coordinates': {'type': 'Point', 'coordinates': [-114.0694295, 50.9905124]}, 'place_id': '53504716d445dcad'}",1,0,0,0,FALSE,F
14963,2964,1.48E+18,1.16E+18,"One thing I was very thankful of yesterday was that I could spend 90% of my commute on well cleared, safe pathways - I think we've hit the sweet spot for SNIC!
Truly a night and day difference compared to the bits that had me on icy roads with aggressive drivers. #yycbike https://t.co/HHlqkm6Vt0",#yycbike,2022-01-01T17:58:17.000Z,,25,0,2,0,FALSE,A
18397,6398,1.45E+18,18982486,TRAFFIC: The collision on WB Glenmore approaching Heritage has been CLEARED. #660traffic #yyctraffic #yycroads,#660traffic #yyctraffic #yycroads,2021-10-24T16:00:48.000Z,,0,0,0,0,FALSE,F
17473,5474,1.46E+18,416389109,The Best Beginner Cross-Country Ski Trails near Calgary https://t.co/PK9CmRMOR0 #crosscountryskiing #skiing #YYC #YYCliving https://t.co/4b3hIoT865,#crosscountryskiing #skiing #YYC #YYCliving,2021-11-12T05:18:03.000Z,,0,0,0,0,FALSE,F
9798,9798,1.38E+18,365249229,Opened On-Street Cycling Lane - Repair request via android at 131 12 Av SW https://t.co/pfP9U4bSk1. Sinkhole in patched sections of bike lane. very hazardous to cyclist. https://t.co/1TWnmcKNC6,,2021-04-12T20:03:57.000Z,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.06549711, 51.04148159]}}",0,0,0,0,FALSE,F
1567,1567,1.43E+18,378796808,"@Garossino @jengerson Yes, I ride my bike with a group of elderly fellows, most former oil execs from Calgary.  All live in homes most would describe as mansions and all will receive a $500 cheque.",,2021-08-15T03:03:24.000Z,,5,1,2,0,FALSE,A
19580,7581,1.45E+18,607516245,"SOLD! Beautiful home in Shaganappi! This stunning residence makes its mark on a sunny hillside backing Shaganappi Park, and looking east onto the magnificent #Calgary skyline–minutes to Downtown, 17 Ave &amp; Marda Loop!
https://t.co/iDHe085hGp
#yychomes #yycrealestate #yycliving https://t.co/vPAw2gHvkI",#Calgary #yychomes #yycrealestate #yycliving,2021-10-04T14:17:28.000Z,,1,0,0,0,FALSE,F
3014,3014,1.42E+18,69941209,New Story: Yuba Bikes Are Back! @YubaBicycles https://t.co/U7c0BSB9Ik #yycbike #yegbike https://t.co/SiFpTJLlb2 https://t.co/uQzoUiJtMi,#yycbike #yegbike,2021-07-23T14:23:10.000Z,,5,0,1,2,FALSE,F
16634,4635,1.47E+18,380472373,"@everydaytourist @GiantBlueRing @JyotiGondek @TourismCalgary @Crackmacs @zorica_mg @YYCActiveCITY #Calgary has so many nature scapes inside our city to enjoy 😊!
Bike run walk!
#yyc",#Calgary #yyc,2021-11-28T21:09:12.000Z,,1,0,0,0,FALSE,F
18452,6453,1.45E+18,1354634546,Wow. Check this guy out. Just watching this put me on edge. 😮 #yycbike #yegbike https://t.co/oo9myKSzk7,#yycbike #yegbike,2021-10-23T13:25:04.000Z,,3,0,3,0,FALSE,F
2624,2624,1.42E+18,1.18E+18,STOLEN - Blue Trek 7.3 FX WSD 17 in Bridgeland-Riverside https://t.co/kmAqPzYvau #yycbike,#yycbike,2021-07-29T02:11:34.000Z,,0,0,0,0,FALSE,A
5312,5312,1.41E+18,3267487692,"Every view of this kitchen is beautiful 🤩✨
.
.
.
#kitchen #kitchendesign #kitcheninspiration #beautiful #yyc #yycliving #yychomes #yychomebuilder #yycdesign #calgary #calgaryhomebuilder #urbanindigohomes https://t.co/q36cPS8ZP7",#kitchen #kitchendesign #kitcheninspiration #beautiful #yyc #yycliving #yychomes #yychomebuilder #yycdesign #calgary #calgaryhomebuilder #urbanindigohomes,2021-06-18T10:53:52.000Z,,1,0,0,0,FALSE,F
13834,1835,1.49E+18,292692891,"The key lending rate remains the same at .25%. Pls reach out to discuss. All it will cost is your time. Reviewing the pros and cons of variable rate mortgages is time well spent.
#fixedvsvariable #yycmortgages #yyc #yycrealestate #mortgages #homefinances #yycliving #yycnow #home https://t.co/UThWnoqbs0",#fixedvsvariable #yycmortgages #yyc #yycrealestate #mortgages #homefinances #yycliving #yycnow #home,2022-01-26T16:50:26.000Z,,1,0,0,0,FALSE,F
2238,2238,1.42E+18,1.18E+18,STOLEN - Red SCOTT Spark in Scenic Acres https://t.co/g1GCew6ez3 #yycbike https://t.co/qs4cfKMDkt,#yycbike,2021-08-04T22:30:12.000Z,,0,0,0,0,FALSE,A
2647,2647,1.42E+18,4834427644,"84th tweeted pedestrian incident in 2021.
#yycwalk #yyccc #ableg #visionzero
@RajanJSaw @shandro
@lornedach @DShepYEG

https://t.co/S5QrL2ifuw",#yycwalk #yyccc #ableg #visionzero,2021-07-28T19:29:45.000Z,,1,0,0,1,FALSE,A
19789,7790,1.44E+18,8.58E+17,"Wing night is in full effect! 🍗 
16 flavours to choose from, 39cents each! Paired with 32oz domestic schooners for $9.95, enjoy the last bit of summer☀️ on one of our gorgeous patios! 

#yyc #yycnow #yycliving #yycbuzz #yycpubs #yycfood #yyceats #yycwings #yycdrinks #yycbeer https://t.co/QZvOwhqNjj",#yyc #yycnow #yycliving #yycbuzz #yycpubs #yycfood #yyceats #yycwings #yycdrinks #yycbeer,2021-09-29T23:12:42.000Z,,3,0,0,1,FALSE,F
14478,2479,1.48E+18,2478791215,"#sunset low light #photography exploration #ggeraldgarcia #garseeya #garseeyaphoto #yyc #yycliving @ Calgary, Alberta https://t.co/J81cJ8H6Ti",#sunset #photography #ggeraldgarcia #garseeya #garseeyaphoto #yyc #yycliving,2022-01-12T02:50:09.000Z,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.057, 51.045]}}",1,0,0,0,FALSE,F
14760,2761,1.48E+18,9.21E+17,WOW! I can't believe i've never seen @GlobalCalgary make a story about homosexual water parks! #yyc,#yyc,2022-01-05T21:09:56.000Z,,0,0,0,1,FALSE,F
11535,11535,1.37E+18,3252984368,"These last twelve months have brought significant change. I started my day with my friends who make up #BNI and #BNIsAlberta. Today, I saw client today with a mask on. Yet with all of these changes, I am still me. #yycbusiness #yycinsure #yycinvest #yycliving https://t.co/jD0r42mjoi",#BNI #BNIsAlberta #yycbusiness #yycinsure #yycinvest #yycliving,2021-03-16T02:56:08.000Z,,1,0,0,0,FALSE,F
13883,1884,1.49E+18,1009543484,"See @HomeFreeGuys at MacEwan Hall on April 28 for their Dive Bar Saints Tour! 

Get tickets now: https://t.co/vboOf6SQwO

#HomeFree #DiveBarSaints #yyccountry #Calgary #yyc #yycliving #yycmusic #yycevents  #yycconcerts #machall #macewanhall #yycarts https://t.co/oDfIDpm5vl",#HomeFree #DiveBarSaints #yyccountry #Calgary #yyc #yycliving #yycmusic #yycevents #yycconcerts #machall #macewanhall #yycarts,2022-01-25T18:20:03.000Z,,0,0,0,0,FALSE,F
